Designator,Mid X,Mid Y,Layer,Rotation
C1,26.04,104.3,Top,180
C2,63.5,104.14,Top,0
C3,6.83,103.19,Top,180
C4,83.82,103.19,Top,0
C5,71.28,100.97,Top,90
C6,17.62,100.97,Top,90
C7,71.91,99.38,Top,180
C8,16.99,99.38,Top,180
C9,71.28,96.68,Top,270
C10,17.62,96.52,Top,270
C11,40.96,96.52,Top,0
C12,25.56,96.2,Top,270
C13,63.34,96.2,Top,270
C14,26.67,94.3,Top,0
C15,72.39,93.82,Top,0
C16,50.32,93.03,Top,180
C17,38.58,92.87,Top,180
C18,61.91,90.49,Top,180
C19,72.71,90.49,Top,0
C20,75.88,90.49,Top,180
C21,26.99,90.49,Top,0
C22,15.08,90.49,Top,0
C23,49.21,89.85,Top,0
C24,39.69,89.85,Top,180
C25,15.08,89.22,Top,0
C26,29.21,87.95,Top,0
C27,82.23,87.95,Top,180
C28,60.01,87.95,Top,180
C29,11.75,87.79,Top,180
C30,26.67,85.41,Top,180
C31,72.39,85.41,Top,180
C32,71.28,83.66,Top,90
C33,63.18,83.66,Top,90
C34,7.14,83.66,Top,180
C35,79.37,83.66,Top,180
C36,24.77,83.5,Top,0
C37,61.44,81.92,Top,180
C38,53.66,81.76,Top,180
C39,37.47,81.6,Top,0
C40,71.28,81.12,Top,90
C41,18.1,79.69,Top,0
C42,14.92,78.42,Top,90
C43,74.3,78.11,Top,90
C44,20,77.47,Top,0
C45,69.53,76.84,Top,180
C46,72.39,76.84,Top,90
C47,19.37,75.25,Top,0
C48,65.25,70.17,Top,180
C49,23.49,70.17,Top,0
C50,21.75,68.26,Top,90
C51,67.15,68.26,Top,90
C52,5.08,66.36,Top,270
C53,83.82,66.36,Top,270
C54,47.94,65.72,Top,270
C55,39.69,65.72,Top,90
C56,7.78,64.29,Top,270
C57,81.12,64.29,Top,270
C58,18.41,63.82,Top,0
C59,75.88,63.82,Top,180
C60,78.58,63.5,Top,270
C61,10.48,63.5,Top,270
C62,21.75,63.02,Top,180
C63,30.96,63.02,Top,0
C64,57.94,63.02,Top,180
C65,67.15,63.02,Top,0
C66,20.48,61.91,Top,180
C67,32.23,61.91,Top,180
C68,56.67,61.91,Top,180
C69,68.42,61.91,Top,180
C70,31.43,58.1,Top,0
C71,66.83,57.47,Top,270
C72,31.75,55.56,Top,0
C73,57.15,55.56,Top,180
C74,68.58,53.66,Top,180
C75,32.39,52.71,Top,270
C76,56.52,52.39,Top,270
C77,20.32,52.94,Top,0
C78,68.58,52.55,Top,180
C79,12.38,103.82,Top,90
C80,76.84,103.82,Top,90
C81,20.32,51.67,Top,0
C82,15.24,49.85,Top,180
C83,73.66,49.85,Top,0
C84,31.43,49.21,Top,180
C85,67.63,49.21,Top,180
C86,5.24,46.2,Top,180
C87,83.66,46.2,Top,0
C88,56.67,45.88,Top,180
C89,68.42,45.88,Top,0
C90,20.48,45.88,Top,180
C91,32.23,45.88,Top,0
C92,6.03,41.27,Top,180
C93,83.19,41.27,Top,180
C94,25.4,40.96,Top,270
C95,27.3,40.96,Top,90
C96,61.6,40.96,Top,270
C97,63.5,40.96,Top,90
C98,77.95,40.96,Top,180
C99,10.95,40.8,Top,180
C100,14.76,40.48,Top,90
C101,74.3,40.48,Top,90
D1,16.99,103.3,Top,270
D2,71.76,103.3,Top,270
D3,62.23,101.49,Top,90
D4,26.67,101.49,Top,90
D5,25.56,98.38,Top,270
D6,63.34,98.38,Top,270
D7,41.86,89.85,Top,180
D8,47.04,89.85,Top,0
D9,41.96,88.74,Top,0
D10,46.94,88.74,Top,180
D11,5.4,84.51,Top,90
D12,77.2,83.66,Top,0
D13,83.13,83.5,Top,180
D14,11.48,83.5,Top,0
D15,13.7,83.5,Top,0
D16,75.56,83.23,Top,90
D17,3.49,82.34,Top,270
D18,85.41,81.81,Top,90
D19,43.02,65.56,Top,270
D20,53.66,72.71,Top,90
D21,17.7,57.6,Top,90
D22,70.96,57.6,Top,90
D23,68.53,55.72,Top,180
D24,20.21,55.01,Top,0
D25,12.97,49.85,Top,180
D26,75.93,49.85,Top,0
D27,13.23,48.74,Top,0
D28,75.83,48.74,Top,180
D29,32.18,48.1,Top,180
D30,56.72,48.1,Top,0
D31,68.37,48.1,Top,180
D32,20.53,48.1,Top,0
