Comment,Footprint,Designator
WE-CBF_0603,603,SMD EMI Suppression Ferrite Beads
1.0M,R-US_R0603,"R12, R18, R22, R24, R35, R42, R52, R58, R72, R77, R81, R85, R96, R104, R110, R115"
1.2k,R-US_R0603,"R15, R21, R48, R53, R59, R60, R75, R80, R108, R113"
100.0k,R-US_R0603,"R3, R16, R19, R20, R28, R31, R34, R38, R39, R49, R63, R76, R78, R79, R89, R92, R95, R101, R102, R109"
100k,R-US_R0603,"R2, R6, R9, R11, R43, R45, R50, R51, R62, R66, R69, R71, R105, R106, R111, R112"
100n,C-USC0603,"C3, C4, C5, C7, C8, C11, C16, C17, C18, C21, C22, C24, C25, C26, C27, C28, C29, C30, C32, C33, C36, C41, C42, C43, C46, C47"
10kB,POT_USVERTICAL,"R5, R37, R65, R98"
10kB,POT_USVERTICAL_PS,"R4, R36, R64, R97"
1N5819HW,DIODE-SOD123,"D1, D2"
205.0k,R-US_R0603,"R1, R57, R61, R117"
22u,CPOL-USC,"C1, C2"
3.90k,R-US_R0603,"R10, R44, R70"
33.20k,R-US_R0603,"R23, R29, R30, R54, R83, R90, R91, R103"
4.30k,R-US_R0603,"R7, R8, R13, R40, R41, R46, R67, R68, R73, R99, R100"
402,R-US_R0603,"R17, R55, R84, R116"
47p,C-USC0603,"C6, C9, C10, C19, C20, C23, C31, C34, C35, C44, C45, C48"
510,R-US_R0603,"R26, R27, R32, R33, R87, R88, R93, R94"
560p,C-USC0603,"C12, C13, C14, C15, C37, C38, C39, C40"
66.50k,R-US_R0603,"R14, R47, R56, R74, R82, R107, R114"
DNP,R-US_R0603,"R25, R86"
FIDUCIAL1X2,FIDUCIAL1X2,"JP1, JP2, JP3, JP4"
LM4040B10,LM4041B12DBZ,"IC6, IC7"
M05X2PTH,M05X2PTH,JP5
OPA4171,TL074PW,"IC1, IC2, IC4, IC5, IC8, IC9, IC11, IC12"
PJ301_THONKICONN6,PJ301_THONKICONN6,"J1, J2, J3, J4, J5, J6, J7, J8, J9, J10, J11, J12"
PTCSMD,PTCSMD,P1
V2164SZ,SSM2164S,"IC3, IC10"
WP7113SRSGW,LED5MM,"LED1, LED3, LED5, LED7"
WP937EGW,LED3MM,"LED2, LED4, LED6, LED8"
