Designator "Mid X" "Mid Y" Rotation Layer
C1 30.8 102.55 90 Top
C2 6.99 102.23 270 Top
C3 43.66 94.3 0 Top
C4 54.93 94.14 0 Top
C5 49.21 93.66 180 Top
C6 17.78 93.34 180 Top
C7 16.51 88.58 180 Top
C8 20 88.58 180 Top
C9 48.26 86.68 0 Top
C10 14.29 83.19 270 Top
C11 24.13 80.96 0 Top
C12 26.35 80.01 90 Top
C13 10.48 78.11 90 Top
C14 10.48 74.3 90 Top
C15 26.35 73.5 270 Top
C16 24.13 72.71 180 Top
C17 54.93 67.47 0 Top
C18 49.21 66.99 180 Top
C19 16.83 65.41 90 Top
C20 48.26 60.01 0 Top
C21 16.83 57.79 180 Top
C22 20 57.79 180 Top
C23 13.97 56.83 90 Top
C24 5.4 50.16 270 Top
C25 14.61 50.16 270 Top
C26 7.62 46.04 180 Top
C27 12.38 46.04 0 Top
C28 43.5 40.96 180 Top
C29 54.93 40.8 0 Top
C30 49.21 40.32 180 Top
C31 17.78 40.01 180 Top
C32 16.51 35.24 180 Top
C33 20 35.24 180 Top
C34 48.26 33.34 0 Top
C35 14.29 29.85 270 Top
C36 24.13 27.62 0 Top
C37 26.35 26.67 90 Top
C38 10.48 24.77 90 Top
C39 10.48 20.96 90 Top
C40 26.35 20.16 270 Top
C41 24.13 19.37 180 Top
C42 54.93 14.29 180 Top
C43 49.21 13.65 180 Top
C44 16.83 12.07 90 Top
C45 48.26 6.67 0 Top
C46 16.83 4.45 180 Top
C47 20 4.45 180 Top
C48 13.97 3.49 90 Top
D1 34.77 102.87 270 Top
D2 11.11 102.55 90 Top
IC1 51.12 90.17 270 Top
IC2 18.41 85.09 270 Top
IC3 18.41 76.52 270 Top
IC4 51.12 63.5 270 Top
IC5 18.41 61.28 270 Top
IC6 7.62 48.58 180 Top
IC7 12.38 48.58 180 Top
IC8 51.12 36.83 270 Top
IC9 18.41 31.75 270 Top
IC10 18.41 23.18 270 Top
IC11 51.12 10.16 270 Top
IC12 18.41 7.94 270 Top
JP1 1.91 104.78 0 Top
JP2 57.15 104.3 0 Top
JP3 1.91 1.91 0 Top
JP4 57.15 1.91 0 Top
L1 10.38 99.06 0 Top
L2 26.45 99.06 180 Top
P1 26.67 102.23 90 Top
R1 16.67 95.25 180 Top
R2 19.69 95.25 0 Top
R3 37.47 94.3 180 Top
R6 17.78 91.76 180 Top
R7 46.36 91.76 270 Top
R8 55.25 91.44 270 Top
R9 22.86 89.06 270 Top
R10 55.88 88.27 270 Top
R11 31.75 86.68 90 Top
R12 34.93 86.36 90 Top
R13 45.88 85.88 90 Top
R14 48.26 85.09 180 Top
R15 51.75 84.77 0 Top
R16 6.67 84.14 180 Top
R17 48.26 83.5 0 Top
R18 51.75 83.34 0 Top
R19 11.11 83.19 270 Top
R20 12.7 83.19 270 Top
R21 30.48 83.19 0 Top
R22 34.93 83.19 270 Top
R23 45.88 82.71 270 Top
R24 50.01 81.91 180 Top
R25 12.38 80.33 0 Top
R26 24.13 79.53 180 Top
R27 12.07 78.11 90 Top
R28 13.65 78.11 270 Top
R29 24.13 78.11 0 Top
R30 24.13 75.56 0 Top
R31 12.7 74.93 180 Top
R32 24.13 74.14 180 Top
R33 12.7 73.34 0 Top
R34 37.47 67.63 180 Top
R35 34.93 66.99 90 Top
R38 18.26 65.41 90 Top
R39 19.69 65.41 90 Top
R40 46.36 65.09 270 Top
R41 55.25 64.77 270 Top
R42 34.93 63.82 270 Top
R43 22.86 62.39 270 Top
R44 55.88 61.6 270 Top
R45 31.75 60.01 90 Top
R46 45.88 59.21 90 Top
R47 48.26 58.42 180 Top
R48 51.75 58.1 0 Top
R49 6.67 57.47 180 Top
R50 10.79 56.83 270 Top
R51 12.38 56.83 90 Top
R52 51.75 56.67 0 Top
R53 30.48 56.52 0 Top
R54 45.88 56.04 270 Top
R55 49.05 56.04 90 Top
R56 47.47 56.04 270 Top
R57 8.57 55.88 180 Top
R58 51.43 55.25 180 Top
R59 7.62 51.12 0 Top
R60 12.38 51.12 180 Top
R61 16.67 41.91 180 Top
R62 19.69 41.91 0 Top
R63 37.47 40.96 180 Top
R66 17.78 38.42 180 Top
R67 46.36 38.42 270 Top
R68 55.25 38.1 270 Top
R69 22.86 35.72 270 Top
R70 55.88 34.93 270 Top
R71 31.75 33.34 90 Top
R72 34.93 33.02 90 Top
R73 45.88 32.54 90 Top
R74 48.26 31.75 180 Top
R75 51.75 31.43 0 Top
R76 6.67 30.8 180 Top
R77 51.75 30 0 Top
R78 11.11 29.85 270 Top
R79 12.7 29.85 270 Top
R80 30.48 29.85 0 Top
R81 34.93 29.85 270 Top
R82 47.47 29.37 270 Top
R83 45.88 29.37 270 Top
R84 49.05 29.37 90 Top
R85 51.44 28.57 180 Top
R86 12.38 26.99 0 Top
R87 24.13 26.19 180 Top
R88 12.07 24.77 90 Top
R89 13.65 24.77 270 Top
R90 24.13 24.77 0 Top
R91 24.13 22.23 0 Top
R92 12.7 21.59 180 Top
R93 24.13 20.8 180 Top
R94 12.7 20 0 Top
R95 37.47 14.29 180 Top
R96 34.61 13.34 90 Top
R99 45.09 12.7 90 Top
R100 46.67 12.7 270 Top
R101 18.26 12.07 90 Top
R102 19.69 12.07 90 Top
R103 42.86 11.75 180 Top
R104 34.61 10.16 270 Top
R105 23.18 9.05 270 Top
R106 31.43 6.67 90 Top
R107 48.26 5.24 180 Top
R108 51.59 4.6 0 Top
R109 6.67 4.13 180 Top
R110 54.13 3.81 90 Top
R111 10.79 3.49 270 Top
R112 12.38 3.49 90 Top
R113 30.48 3.18 0 Top
R114 47.63 3.02 270 Top
R115 51.59 3.02 180 Top
R116 49.21 3.02 90 Top
R117 7.62 2.54 180 Top
