Comment,Footprint,Designator
,EVQQ2,"SW2, SW3"
,M06SIP,JP3
1.0k,R-US_R0603,"R1, R2, R3, R11, R23, R55"
100,R-US_R0603,"R4, R5, R6, R7, R8, R9, R10, R12, R13, R14, R15, R16, R17, R18"
100k,R-US_R0603,"R24, R29, R47, R48, R54, R56"
100n,C-USC0603,"C1, C2, C3, C4, C5, C7, C11, C18, C20, C23, C26, C27, C28, C31"
100p,C-USC0603,"C21, C22"
10k,R-US_R0603,"R22, R27, R33"
10kB,POT_USVERTICAL_PS,"R19, R20, R21, R36, R37, R38"
10u,CPOL-USB,C24
120k,R-US_R0603,R39
18p,C-USC0603,"C9, C10"
1N5819HW,DIODE-SOD123,"D1, D2"
1n,C-USC0603,"C13, C14, C16, C17"
1u,C-USC0603,"C6, C12"
200k,R-US_R0603,"R28, R32, R40"
22u,CPOL-USC,"C15, C19"
24.9k,R-US_R0603,"R30, R31, R34, R35, R41, R42, R43, R44, R50, R52, R53"
330,R-US_R0603,R51
39k,R-US_R0603,"R45, R46"
4.7,R-US_R1206,R49
470n,C-USC0603,C8
47p,C-USC0603,C29
47u,CPOL-USD,"C25, C30"
49.9k,R-US_R0603,"R25, R26"
74HC595D,74HC595D,"IC1, IC2"
8MHz,CRYSTALHC49UP,Q5
DAC8551,DAC855X,IC5
EC12E_SW,EC12E_SW,SW1
KINGBRIGHT-PDC54-11,KINGBRIGHT-PDC54-11,"DISP1, DISP2"
LM1117-3.3,REG1117T,IC6
LM4040B10,LM4041B12DBZ,IC8
LM4040B25,LM4041B12DBZ,IC3
M05X2MINIJTAG,M05X2MINIJTAG,JP2
M05X2PTH,M05X2PTH,JP1
MCP3204,MCP3302,IC4
MCP6004,TL074D,IC7
MMBT3904,MMBT3904LT1-NPN-SOT23-BEC,"Q1, Q2, Q3, Q4, Q6"
PJ301_THONKICONN6,PJ301_THONKICONN6,"J1, J2, J3, J4, J5, J6"
STM32F103CBT6,STM32F103CB,UC1
TL072,TL072D,IC10
TL074D,TL074D,IC9
