Designator,Mid X,Mid Y,Rotation,Layer
C1,61.28,76.84,90,Top
C2,23.5,74.93,90,Top
C3,33.34,70.8,0,Top
C4,22.23,62.87,270,Top
C5,30.16,61.6,0,Top
C6,44.77,58.74,90,Top
C7,46.04,58.74,90,Top
C8,74.3,57.15,270,Top
C9,21.59,53.66,180,Top
C10,29.21,53.66,0,Top
C11,59.37,51.12,270,Top
C12,60.96,51.12,270,Top
C13,48.26,48.58,180,Top
C14,54.61,48.58,0,Top
C15,65.56,47.15,90,Top
C16,48.26,38.42,180,Top
C17,54.61,38.42,0,Top
C18,51.44,38.42,0,Top
C19,74.14,32.54,90,Top
C20,26.35,30.48,270,Top
C21,52.07,27.62,270,Top
C22,56.2,26.67,0,Top
C23,48.9,25.72,90,Top
C24,44.45,22.86,90,Top
C25,61.91,22.54,180,Top
C26,14.29,23.5,180,Top
C27,56.2,18.73,90,Top
C28,26.04,17.78,270,Top
C29,52.39,16.19,270,Top
C30,61.91,15.24,180,Top
C31,11.75,53.66,180,Top
D1,70.48,22.54,90,Top
D2,70.48,16.19,90,Top
IC1,54.61,73.03,0,Top
IC2,67.31,73.03,0,Top
IC3,73.34,60.64,0,Top
IC4,51.44,56.2,0,Top
IC5,59.69,56.2,0,Top
IC6,73.66,46.16,0,Top
IC7,51.44,43.5,0,Top
IC8,14.29,26.04,0,Top
IC9,26.04,24.13,0,Top
IC10,52.71,22.23,0,Top
Q1,8.57,102.23,90,Top
Q2,16.83,102.23,90,Top
Q3,25.08,102.23,90,Top
Q4,52.07,102.23,90,Top
Q5,25.4,57.47,180,Top
Q6,23.81,48.26,0,Top
R1,11.75,102.23,270,Top
R2,20,102.23,270,Top
R3,28.26,102.23,270,Top
R4,32.7,102.23,270,Top
R5,35.24,102.23,270,Top
R6,37.78,102.23,270,Top
R7,40.32,102.23,270,Top
R8,42.86,102.23,270,Top
R9,45.4,102.23,270,Top
R10,48.9,102.23,270,Top
R11,55.25,102.23,270,Top
R12,56.83,82.87,180,Top
R13,33.97,78.11,90,Top
R14,36.51,78.11,90,Top
R15,39.05,78.11,90,Top
R16,41.59,78.11,90,Top
R17,44.13,78.11,90,Top
R18,46.67,78.11,90,Top
R22,5.08,60.64,90,Top
R23,72.71,57.15,90,Top
R24,65.09,53.98,0,Top
R25,48.26,49.85,180,Top
R26,54.61,49.85,0,Top
R27,21.27,48.26,270,Top
R28,45.09,46.99,0,Top
R29,20.64,46.04,0,Top
R30,45.09,45.4,0,Top
R31,45.09,43.5,0,Top
R32,45.09,41.91,0,Top
R33,4.45,40.01,90,Top
R34,48.26,37.15,180,Top
R35,54.61,37.15,0,Top
R39,48.26,35.56,0,Top
R40,54.61,35.56,0,Top
R41,48.26,33.97,0,Top
R42,54.61,33.97,0,Top
R43,22.86,29.21,180,Top
R44,29.21,29.21,0,Top
R45,56.2,28.58,0,Top
R46,53.66,27.62,90,Top
R47,33.66,26.04,180,Top
R48,39.37,22.54,90,Top
R49,67.63,21.91,270,Top
R50,48.9,20.32,270,Top
R51,15.88,21.91,180,Top
R52,22.86,19.05,180,Top
R53,29.21,19.05,0,Top
R54,29.21,17.46,180,Top
R55,50.8,16.19,90,Top
R56,53.98,16.19,90,Top
SW2,4.45,55.56,270,Top
SW3,4.45,45.09,270,Top
UC1,26.67,67.95,0,Top
