Comment,Footprint,Designator
,AVR_SPI_PRG_6PTH,J9
,TAC_SWITCHPTH,"SW1, SW2"
,WE-CBF_0603,L1
1.0k,R-US_R0603,"R12, R13, R16, R17"
100k,R-US_R0603,"R3, R4, R5, R7, R8, R9, R10, R18"
100n,C-USC0603,"C1, C4, C6, C7, C8"
10k,R-US_R0603,"R1, R2, R14"
10kB,POT_USVERTICAL_PS,"R6, R15"
1N5819HW,DIODE-SOD123,D1
1n,C-USC0603,"C2, C5"
220,R-US_R0603,"R11, R19"
22u,CPOL-USC,"C3, C9"
ATMEGA88PA-AU,ATMEGA168,IC4
FIDUCIAL1X2,FIDUCIAL1X2,"F1, F2, F3, F4"
LM1117-5.0,REG1117,IC2
LM4040 5.0V,LM4041C12DBZ,IC1
M05X2PTH,M05X2PTH,J10
MCP6002,TL072D,IC3
MMBT3904,MMBT3904LT1-NPN-SOT23-BEC,"Q1, Q2"
PJ301_THONKICONN6,PJ301_THONKICONN6,"J1, J2, J3, J4, J5, J6, J7, J8"
WP937EGW,LED3MM,"LED1, LED2"
