Designator,Mid X,Mid Y,Rotation,Layer
C1,20.64,85.41,90,Top
C2,24.13,89.85,180,Top
C3,4.45,85.09,180,Top
C4,2.86,81.6,180,Top
C5,22.86,80.33,180,Top
C6,4.45,45.72,270,Top
C7,18.1,47.31,0,Top
C8,18.1,45.72,0,Top
C9,4.45,100.01,180,Top
D1,4.13,104.14,0,Top
F1,27.3,104.46,90,Top
F2,8.57,97.16,90,Top
F3,1.91,1.91,90,Top
F4,27.3,1.91,90,Top
IC1,11.75,96.84,180,Top
IC2,4.42,92.39,180,Top
IC3,24.13,85.09,0,Top
IC4,11.43,47.63,0,Top
L1,18.2,44.45,180,Top
Q1,14.61,73.66,180,Top
Q2,14.61,22.86,0,Top
R1,15.24,98.11,180,Top
R2,15.24,96.52,180,Top
R3,19.69,95.25,0,Top
R4,20.64,92.39,270,Top
R5,27.3,87.63,90,Top
R7,25.4,79.69,90,Top
R8,26.99,79.69,90,Top
R9,22.86,79.06,180,Top
R10,14.61,76.84,180,Top
R11,14.61,55.88,0,Top
R12,16.83,53.34,0,Top
R13,5.08,51.44,90,Top
R14,25.08,35.56,180,Top
R16,4.45,28.26,180,Top
R17,4.45,26.67,180,Top
R18,14.61,19.05,270,Top
R19,14.61,10.32,90,Top
