Comment,Footprint,Designator
,EVQQ2,"SW4, SW5"
,M06SIP,JP1
,TAC_SWITCHPTH,"SW2, SW3"
1.0k,R-US_R0603,"R61, R62"
100k,R-US_R0603,"R12, R15, R21, R24, R29, R32, R38, R39"
100n,C-USC0603,"C3, C5, C8, C14, C15, C16, C17, C18, C23, C25, C26, C29, C30, C32, C34, C38, C39, C45, C46"
10k,R-US_R0603,"R13, R14, R16, R17"
10kB,POT_USVERTICAL_PS,"R18, R19, R20, R43, R44, R45"
10u,CPOL-USA,"C28, C49"
10u,CPOL-USB,"C31, C33, C35, C36, C37, C41"
12.288MHz,CRYSTALHC49UP,Q4
180k,R-US_R0603,R36
18p,C-USC0603,"C6, C7, C40, C42, C47, C48"
1N5819HW,DIODE-SOD123,"D1, D2"
1n,C-USC0603,"C9, C10, C11, C20, C21, C22"
1u,C-USC0603,"C12, C50"
2.2k,R-US_R0603,"R40, R41"
2.2u,C-USC0805,"C19, C24"
200k,R-US_R0603,"R22, R23, R28, R33, R37"
220p,C-USC0603,"C43, C44"
22k,R-US_R0603,"R57, R58"
3.3k,R-US_R0603,"R46, R47"
33k,R-US_R0603,"R25, R26, R35"
39k,R-US_R0603,"R48, R49, R50, R59"
4.7,R-US_R1206,R11
470,R-US_R0603,R30
47k,R-US_R0603,R34
47u,CPOL-USD,"C1, C2, C4, C13, C27"
5.6k,R-US_R0603,"R51, R52, R53, R54, R55, R56"
66.5k,R-US_R0603,"R27, R31"
68,R-US_R0603,"R1, R2, R3, R4, R5, R6, R7, R8, R9, R10"
74HC595D,74HC595D,IC1
8MHz,CRYSTALHC49UP,Q3
FIDUCIAL1X2,FIDUCIAL1X2,"F1, F2, F3, F4"
LM1117-3.3,REG1117,IC7
LM1117-3.3,REG1117T,IC2
LM4040B10,LM4041B12DBZ,IC6
LP4OA1PBCT,LP4OA1PBCT,SW1
M05X2MINIJTAG,M05X2MINIJTAG,JP2
M05X2PTH,M05X2PTH,JP3
MCP6002,TL072D,IC3
MCP6004,TL074D,IC4
MMBT3904,MMBT3904LT1-NPN-SOT23-BEC,"Q1, Q2"
PJ301_THONKICONN6,PJ301_THONKICONN6,"J1, J2, J3, J4, J5, J6, J7, J8, J9, J10, J11, J12"
PTV112-4420A-A503,POT_US_DUAL_GANG,R42
STM32F405RGT6,STM32F20X,IC5
TL072D,TL072D,"IC9, IC10"
WM8731,WM8731,IC8
WP59EGW,LED-BICOLOR-THROUGHHOLE5MM,"LED1, LED2, LED3, LED4"
