Designator,Mid X,Mid Y,Rotation,Layer
C1,15.56,88.9,90,Top
C2,22.54,88.9,90,Top
C3,53.82,86.36,0,Top
C4,36.83,86.04,90,Top
C5,40.96,84.14,90,Top
C6,54.29,76.84,180,Top
C7,58.74,76.84,0,Top
C8,57.79,73.02,135,Top
C9,21.91,71.12,270,Top
C10,29.85,70.48,180,Top
C11,36.2,70.48,0,Top
C12,49.85,70.48,45,Top
C13,5.71,67.95,90,Top
C14,50.8,69.53,45,Top
C15,21.27,66.99,270,Top
C16,8.26,61.91,90,Top
C17,49.53,62.87,90,Top
C18,66.61,62.55,315,Top
C19,65.72,60.64,315,Top
C20,29.85,60.33,180,Top
C21,36.2,60.33,0,Top
C22,23.5,59.69,270,Top
C23,32.38,58.74,270,Top
C24,53.66,57.15,135,Top
C25,56.2,56.07,225,Top
C26,41.27,55.88,180,Top
C27,44.13,51.75,180,Top
C28,68.58,49.21,180,Top
C29,67.63,46.67,0,Top
C30,63.18,47.31,180,Top
C31,84.77,43.18,90,Top
C32,59.37,39.05,270,Top
C33,58.74,33.34,0,Top
C34,72.07,36.51,270,Top
C35,75.25,35.56,90,Top
C36,80.01,35.56,90,Top
C37,84.77,35.56,90,Top
C38,10.79,35.24,180,Top
C39,47.94,34.93,180,Top
C40,40.64,33.66,180,Top
C41,63.82,30.8,0,Top
C42,51.75,33.02,90,Top
C43,81.6,30.48,270,Top
C44,86.36,30.48,270,Top
C45,10.79,28.26,180,Top
C46,44.45,27.94,180,Top
C47,72.23,60.64,180,Top
C48,80.17,60.64,0,Top
C49,56.52,38.1,90,Top
C50,63.18,48.58,180,Top
D1,11.11,87.95,270,Top
D2,7.94,74.3,0,Top
F1,3.18,102.87,0,Top
F2,85.73,102.87,0,Top
F3,2.54,2.54,0,Top
F4,86.36,2.54,0,Top
IC1,46.83,89.22,180,Top
IC2,29.85,86.56,180,Top
IC3,24.77,65.41,0,Top
IC4,33.02,65.41,0,Top
IC5,57.78,64.46,315,Top
IC6,7.3,58.42,180,Top
IC7,44.79,43.18,0,Top
IC8,66.04,40.97,270,Top
IC9,10.79,31.75,270,Top
IC10,46.36,31.43,270,Top
Q1,72.39,90.81,270,Top
Q2,72.39,87.31,270,Top
Q3,56.52,80.33,0,Top
Q4,76.2,57.15,0,Top
R1,16.83,97.79,270,Top
R2,18.41,97.79,270,Top
R3,23.97,97.79,90,Top
R4,32.54,97.79,270,Top
R5,34.29,97.79,270,Top
R6,43.18,97.79,270,Top
R7,44.93,97.79,270,Top
R8,53.82,97.79,270,Top
R9,55.56,97.79,270,Top
R10,64.45,97.79,270,Top
R11,19.05,93.98,0,Top
R12,68.58,91.76,0,Top
R13,80.01,91.44,90,Top
R14,76.2,90.81,0,Top
R15,68.58,88.27,0,Top
R16,76.2,87.31,0,Top
R17,80.01,80.01,90,Top
R21,29.85,75.25,180,Top
R22,29.85,73.66,180,Top
R23,36.2,73.66,0,Top
R24,33.66,73.03,90,Top
R25,29.85,72.07,0,Top
R26,36.2,72.07,180,Top
R27,23.5,71.12,90,Top
R28,25.4,71.12,90,Top
R29,26.99,71.12,90,Top
R30,6.67,61.91,270,Top
R31,21.91,59.69,90,Top
R32,25.08,59.69,270,Top
R33,26.67,59.69,270,Top
R34,29.85,58.74,0,Top
R35,36.2,58.74,180,Top
R36,29.85,57.15,180,Top
R37,36.2,57.15,0,Top
R38,29.85,55.56,180,Top
R39,36.2,55.56,0,Top
R40,66.67,53.02,270,Top
R41,64.14,53.02,270,Top
R46,5.71,33.02,270,Top
R47,15.88,33.02,270,Top
R48,53.66,33.02,270,Top
R49,40.64,32.07,0,Top
R50,55.56,30.8,90,Top
R51,40.64,30.48,180,Top
R52,52.71,30.48,0,Top
R53,78.42,30.48,270,Top
R54,80.01,30.48,90,Top
R55,83.19,30.48,270,Top
R56,84.77,30.48,90,Top
R57,5.71,29.85,270,Top
R58,15.88,29.85,270,Top
R59,40.64,28.89,180,Top
R61,62.55,12.07,0,Top
R62,75.88,12.07,180,Top
SW4,84.14,88.9,270,Top
SW5,84.14,77.47,270,Top
