Comment,Footprint,Designator
,M02TINY,MIC
,M03PTH,"JP1, JP2, JP3"
,WE-CBF_0603,"L1, L2"
1.0M,R-US_R0402,"R5, R27"
1.0n,C-USC0402,C14
100k,R-US_R0402,"R12, R19, R20, R21, R23, R29, R33, R34, R35"
100n,C-USC0402,"C4, C6, C9, C12, C13"
10k,R-US_R0402,"R4, R6, R10, R11, R24"
1N4148,DIODE-SOD523,"D4, D5, D6, D7, D8"
1u,C-USC0402,"C8, C11"
2.7k,R-US_R0402,R25
200k,R-US_R0402,"R13, R14, R15, R16, R17, R30, R31, R32"
20k,R-US_R0402,"R9, R18, R22, R26"
22p,C-USC0402,C7
22u,C-USC1206,"C1, C2"
4.7u,C-USC0603,"C5, C15, C16"
430k,R-US_R0402,R28
50kB,POT_USVERTICAL_PS,R7
510,R-US_R0402,"R1, R2, R3, R8"
68p,C-USC0402,"C3, C10"
AOL-3MWY4,LED3MM,LED2
DNP,DIODE_2CACA-SOT23,D3
LM324PW,LM324PW,"IC2, IC3"
M05X2PTH,M05X2PTH,JP4
OPA1641,OPA1641,IC1
PJ301_THONKICONN6,PJ301_THONKICONN6,"J1, J2, J3, J4"
PMEG2010AEB,DIODE-SOD523,"D1, D2"
SOLDERJUMPERNC,SOLDERJUMPERNC,"SJ1, SJ2"
TEST-POINT3X5,TEST-POINT3X5,TP1
WP710A10SEC/J3,LED3MM,LED1
WP710A10SEC/J4,LED3MM,LED3
