Designator,Mid X,Mid Y,Rotation,Layer
C1,1.91,102.23,270,Top
C2,17.14,102.23,90,Top
C3,7.3,87,180,Top
C4,11.75,72.71,0,Top
C5,5.08,70.17,270,Top
C6,8.41,68.26,0,Top
C7,11.11,68.26,0,Top
C8,5.08,43.18,90,Top
C9,10.16,38.42,0,Top
C10,6.99,36.83,90,Top
C11,9.53,18.41,0,Top
C12,11.11,15.56,180,Top
C13,5.4,13.97,90,Top
C14,13.65,13.97,90,Top
C15,14.61,52.71,270,Top
C16,14.92,71.12,90,Top
D1,2.54,106,270,Top
D2,16.51,106.09,90,Top
D3,6.67,73.03,180,Top
D4,6.35,43.23,90,Top
D5,14.92,16.46,270,Top
D6,13.65,16.24,90,Top
D7,11.38,8.57,180,Top
D8,11.48,7.3,0,Top
IC1,11.11,70.48,270,Top
IC2,11.11,34.93,270,Top
IC3,9.53,12.07,270,Top
L1,1.43,106.1,90,Top
L2,17.62,106.1,90,Top
R1,16.83,87,180,Top
R2,9.84,74.3,180,Top
R3,16.83,74.3,180,Top
R4,6.67,69.85,270,Top
R5,6.67,67.63,90,Top
R6,11.11,66.99,0,Top
R8,14.61,55.56,90,Top
R9,6.35,47.63,270,Top
R10,12.7,47.63,90,Top
R11,3.81,43.18,270,Top
R12,4.45,39.05,90,Top
R13,4.45,36.83,270,Top
R14,5.71,36.83,90,Top
R15,4.45,34.61,90,Top
R16,6.99,34.61,270,Top
R17,5.24,32.7,180,Top
R18,10.16,31.43,180,Top
R19,12.38,31.43,180,Top
R20,7.62,28.89,0,Top
R21,7.62,26.35,0,Top
R22,7.62,23.81,0,Top
R23,11.75,20.96,270,Top
R24,13.02,20.96,270,Top
R25,14.29,20.96,270,Top
R26,15.56,20.96,270,Top
R27,9.53,19.69,180,Top
R28,13.02,18.73,90,Top
R29,14.29,18.73,90,Top
R30,14.92,13.97,90,Top
R31,15.56,12.07,0,Top
R32,14.29,10.79,180,Top
R33,13.34,8.57,270,Top
R34,14.61,8.57,90,Top
R35,15.88,8.57,90,Top
SJ1,4.76,67.31,0,Top
SJ2,15.24,67.31,0,Top
TP1,16.35,14.61,0,Top
