Designator,Mid X,Mid Y,Rotation,Layer
C1,16.51,46.67,90,Top
C2,17.46,40.96,0,Top
C3,18.41,29.85,270,Top
C4,17.14,20.64,0,Top
C5,3.49,16.19,270,Top
D1,10.16,58.1,180,Top
IC1,11.43,37.15,270,Top
IC2,11.43,26.99,270,Top
IC3,11.43,18.73,270,Top
OK1,10.16,50.8,180,Top
R1,14.61,58.1,180,Top
R2,13.02,43.18,0,Top
R3,2.54,31.43,90,Top
R4,4.13,31.43,270,Top
R5,2.54,28.26,90,Top
R6,4.13,28.26,270,Top
R7,2.54,25.08,90,Top
R8,4.13,25.08,270,Top
R9,3.33,22.7,180,Top
R10,3.33,21.11,0,Top
R11,13.65,15.24,180,Top
