Comment,Footprint,Designator
,AVR_SPI_PRG_6PTH,"J18, J20"
,LED3MM,"LED1, LED2, LED3, LED4"
,S-ON-ONSMALL_SLIDE,"SW1, SW2, SW3"
,TAC_SWITCHPTH,"SW4, SW5, SW6, SW7"
,WE-CBF_0603,L1
100,R-US_R0603,"R71, R72, R73, R74"
100k,R-US_R0603,"R14, R21, R22, R24, R29, R30, R34, R36, R37, R38, R40, R50, R56, R57, R59, R66, R67"
100n,C-USC0603,"C3, C5, C7, C11, C13, C14, C15, C20, C21, C22, C24, C27, C30, C34, C36, C37, C40, C41, C43, C45"
100p,C-USC0603,"C4, C6, C10, C12, C23, C26, C29, C31"
10k,R-US_R0603,"R2, R9, R10, R15, R18, R45, R46, R53, R60"
10kB,POT_USVERTICAL_PS,"R4, R5, R31, R32, R41, R42, R68, R69"
10u,CPOL-USB,"C8, C9, C25, C28"
18p,C-USC0603,"C16, C17, C42, C44"
1N5819HW,DIODE-SOD123,"D1, D2, D3"
1k,R-US_R0603,"R6, R7, R20, R33, R43, R49, R62"
1u,C-USC0603,"C33, C35"
200k,R-US_R0603,"R16, R19, R25, R26, R27, R28, R51, R55, R61, R63, R64, R65"
24.9k,R-US_R0603,"R8, R12, R17, R23, R44, R47, R52, R58"
2k,R-US_R0603,R1
300,R-US_R0603,R3
33k,R-US_R0603,"R11, R13, R35, R48"
39k,R-US_R0603,"R39, R70"
470n,C-USC0603,"C1, C2, C32"
47u,CPOL-USD,"C18, C19, C38, C39"
74AHC1G125DBV,74AHC1G125DBV,IC5
74AHC1G86DBV,74AHC1G86DBV,"IC6, IC8"
82k,R-US_R0603,R54
8MHz,CRYSTALHC49U70,Q5
ATXMEGA32A4U-AU,AVR_XMEGA_A4_44A,IC16
FIDUCIAL1X2,FIDUCIAL1X2,"JP1, JP2, JP3, JP4"
LM1117-3.3,REG1117,IC14
LM4040 10V,LM4041C12DBZ,IC1
LM4040B25,LM4041B12DBZ,IC11
M05X2PTH,M05X2PTH,J19
MCP3208,MCP3208,IC13
MCP4822,MCP4822SO08,IC15
MCP6002,TL072D,"IC3, IC4, IC10, IC12"
MMBT3904,MMBT3904LT1-NPN-SOT23-BEC,"Q1, Q2, Q3, Q4"
PJ301_THONKICONN6,PJ301_THONKICONN6,"J1, J2, J3, J4, J5, J6, J7, J8, J9, J10, J11, J12, J13, J14, J15, J16, J17"
TL072D,TL072D,"IC2, IC7, IC9"
