Comment,Footprint,Designator
,EVQQ2,"SW2, SW3"
,M06SIP,JP2
,WE-CBF_0603,"L1, L2"
1.0k,R-US_R0603,"R1, R2, R88, R89"
100k,R-US_R0603,"R13, R16, R19, R22, R30, R33, R36, R39, R40, R43, R54, R57, R67, R71"
100n,C-USC0603,"C2, C4, C5, C6, C7, C8, C13, C16, C18, C21, C22, C23, C29, C32, C33, C34, C37, C38, C39, C44, C45, C46, C47, C51"
10k,R-US_R0603,"R45, R50, R60"
10kB,POT_USVERTICAL,"R76, R77, R78, R79, R80, R81, R82, R83, R84, R85"
10kB,POT_USVERTICAL_PS,"R3, R4, R5, R6, R7, R8, R9, R23, R24, R25, R26, R61, R62, R63, R64, R65, R66"
10u,CPOL-USB,"C40, C52, C53, C55, C56"
120k,R-US_R0603,"R14, R15, R20, R21, R32, R38, R41, R42, R55, R56, R70"
180k,R-US_R0603,R37
18p,C-USC0603,"C11, C12, C43, C49"
1N5819HW,DIODE-SOD123,"D1, D2"
1u,C-USC0603,"C17, C36, C48"
2.2k,R-US_R0603,"R44, R47, R52, R53"
2.2u,C-USC0805,"C31, C35"
200k,R-US_R0603,R31
20k,R-US_R0603,"R11, R12, R17, R18, R28, R29, R35, R46, R48, R49, R73"
220p,C-USC0603,"C54, C57"
22u,CPOL-USC,"C1, C3, C9, C10"
3.3n,C-USC0603,"C14, C15, C19, C20, C24, C25, C26, C27, C28, C30, C41, C42, C50"
33,R-US_R0603,R10
33k,R-US_R0603,R34
36k,R-US_R0603,"R75, R86"
4051PW,4051PW,"IC3, IC5, IC8, IC11"
47k,R-US_R0603,"R27, R51, R59, R69, R72"
6.8k,R-US_R0603,"R58, R68, R74, R87"
8MHz,CRYSTALHC49UP,Q1
ADC_TEST,TEST-POINT3,TP1
FIDUCIAL1X2,FIDUCIAL1X2,"F1, F2, F3, F4"
LM1117-3.3,REG1117,"IC2, IC4"
LM4040B10,LM4041B12DBZ,IC1
LME49720,TL072D,IC14
LP4OA1PBCT,LP4OA1PBCT,SW1
M05X2MINIJTAG,M05X2MINIJTAG,JP1
M05X2PTH,M05X2PTH,JP3
MCP6002,TL072D,IC9
MCP6004,TL074D,"IC6, IC7, IC13"
MMBT3904,MMBT3904LT1-NPN-SOT23-BEC,Q2
PJ301_THONKICONN6,PJ301_THONKICONN6,"J1, J2, J3, J4, J5, J6, J7, J8, J9, J10, J11, J12, J13, J14, J15, J16, J17, J18"
SSL-LX5093PC,LED5MM,LED2
SSL-LX5093TC,LED5MM,LED1
STM32F405RGT6,STM32F20X,IC10
WM8731,WM8731,IC12
