Designator,Mid X,Mid Y,Rotation,Layer
C1,46.36,100.97,0,Top
C2,51.12,96.2,90,Top
C3,3.81,93.03,90,Top
C4,6.67,87.95,180,Top
C5,27.3,94.93,90,Top
C6,137.16,85.73,0,Top
C7,87.31,84.93,270,Top
C8,17.46,84.77,270,Top
C9,83.5,83.82,90,Top
C10,13.97,83.5,90,Top
C11,95.57,83.5,180,Top
C12,104.46,83.5,0,Top
C13,137.16,76.52,0,Top
C14,26.35,75.88,180,Top
C15,36.51,75.88,0,Top
C16,137.16,75.25,0,Top
C17,94.3,73.66,90,Top
C18,95.89,73.66,90,Top
C19,53.02,73.34,180,Top
C20,63.18,73.34,0,Top
C21,105.66,69.53,0,Top
C22,90.49,68.58,90,Top
C23,17.14,68.26,0,Top
C24,7.62,66.04,90,Top
C25,17.78,65.72,90,Top
C26,25.4,65.09,180,Top
C27,37.47,65.09,0,Top
C28,63.5,65.09,90,Top
C29,31.43,63.18,270,Top
C30,52.07,62.55,180,Top
C31,90.81,60.64,270,Top
C32,60.33,61.6,0,Top
C33,92.71,58.74,270,Top
C34,104.46,57.34,0,Top
C35,102.87,55.56,0,Top
C36,91.76,53.66,180,Top
C37,137.16,53.66,0,Top
C38,91.76,52.07,180,Top
C39,101.92,50.8,90,Top
C40,81.92,50.48,0,Top
C41,43.18,47.94,180,Top
C42,53.34,47.94,0,Top
C43,70.48,47.31,180,Top
C44,66.99,44.45,270,Top
C45,73.98,40.64,270,Top
C46,93.34,40.64,0,Top
C47,99.06,40.32,0,Top
C48,93.34,39.05,0,Top
C49,68.9,37.78,180,Top
C50,53.66,37.47,0,Top
C51,45.09,37.15,180,Top
C52,99.38,36.51,180,Top
C53,76.84,34.29,0,Top
C54,24.13,27.94,90,Top
C55,25.4,23.5,270,Top
C56,25.4,17.46,90,Top
C57,24.13,13.02,270,Top
D1,12.38,103.19,0,Top
D2,36.2,103.19,0,Top
F1,1.91,104.14,0,Top
F2,162.56,104.14,0,Top
F3,1.91,1.91,0,Top
F4,162.56,1.91,0,Top
IC1,48.26,96.52,270,Top
IC2,6.35,83.85,90,Top
IC3,131.76,83.5,270,Top
IC4,75.88,83.48,270,Top
IC5,131.76,72.7,270,Top
IC6,31.43,70.48,0,Top
IC7,58.1,67.95,0,Top
IC8,131.76,66.03,270,Top
IC9,12.7,64.45,270,Top
IC10,98.76,64.48,270,Top
IC11,131.76,51.11,270,Top
IC12,96.2,46.36,270,Top
IC13,48.26,42.55,0,Top
IC14,70.48,42.55,0,Top
L1,24.67,93.98,0,Top
L2,6.57,89.54,0,Top
Q1,100.01,80.01,0,Top
Q2,13.34,44.45,0,Top
R1,43.82,96.52,270,Top
R2,45.4,96.52,270,Top
R10,17.46,77.79,90,Top
R11,26.35,77.79,0,Top
R12,36.51,77.79,180,Top
R13,28.89,76.84,90,Top
R14,30.48,76.84,90,Top
R15,32.38,76.84,90,Top
R16,33.97,76.84,90,Top
R17,53.02,75.25,0,Top
R18,63.18,75.25,180,Top
R19,55.56,74.3,90,Top
R20,57.15,74.3,90,Top
R21,59.05,74.3,90,Top
R22,60.64,74.3,90,Top
R27,6.03,66.04,270,Top
R28,19.37,65.72,270,Top
R29,65.09,65.09,270,Top
R30,27.94,64.14,270,Top
R31,29.53,64.14,270,Top
R32,33.34,64.14,270,Top
R33,34.93,64.14,270,Top
R34,25.4,63.18,0,Top
R35,37.47,63.18,180,Top
R36,6.03,62.87,270,Top
R37,7.62,62.87,270,Top
R38,17.78,62.55,270,Top
R39,19.37,62.55,270,Top
R40,54.61,61.6,270,Top
R41,56.2,61.6,270,Top
R42,63.5,61.6,270,Top
R43,65.09,61.6,270,Top
R44,127,61.6,270,Top
R45,159.7,61.28,270,Top
R46,52.07,60.64,0,Top
R47,60.33,57.79,0,Top
R48,43.18,49.85,0,Top
R49,53.34,49.85,180,Top
R50,159.7,49.85,270,Top
R51,70.48,49.21,0,Top
R52,103.51,49.21,90,Top
R53,105.09,49.21,90,Top
R54,45.72,48.9,90,Top
R55,47.31,48.9,90,Top
R56,49.21,48.9,90,Top
R57,50.8,48.9,90,Top
R58,73.03,48.26,90,Top
R59,74.61,48.26,90,Top
R60,10.79,44.77,270,Top
R67,12.38,40.32,90,Top
R68,71.44,36.83,270,Top
R69,73.03,36.83,270,Top
R70,49.53,36.51,270,Top
R71,51.12,36.51,270,Top
R72,68.9,36.2,0,Top
R73,53.66,35.88,180,Top
R74,25.72,27.94,270,Top
R75,21.59,27.62,180,Top
R86,21.59,13.65,180,Top
R87,25.72,13.02,90,Top
R88,12.38,2.86,90,Top
R89,24.45,2.86,90,Top
SW2,159.7,66.99,90,Top
SW3,159.7,55.56,90,Top
TP1,118.11,80.33,0,Top
