Comment,Footprint,Designator
,EVQQ2,"SW1, SW2"
,M03PTH,JP1
,M06SIP,JP3
,S-ON-ONSMALL_SLIDE,SW5
1.0k,R-US_R0603,"R28, R39, R48, R51, R58, R61"
100,R-US_R0603,"R6, R7, R8, R9, R11, R12, R13, R16, R19, R20, R21, R22"
100k,R-US_R0603,"R18, R27, R29, R30, R31, R32, R33, R36, R37, R38, R41, R44, R45, R46, R47, R49, R50, R52, R53, R54, R57, R59, R60, R62, R63, R64, R65"
100n,C-USC0603,"C2, C3, C6, C7, C10, C13, C16, C24, C25, C26, C28, C29, C30, C34, C35, C36, C37, C41, C45, C47, C48"
10k,R-US_R0603,"R1, R10, R23"
10kB,POT_USVERTICAL_PS,"R2, R3, R4, R5, R14"
10kB CD,POT_USVERTICAL_PS,R15
18p,C-USC0603,"C1, C9, C23, C38, C39, C40, C44, C46"
1N5819HW,DIODE-SOD123,"D1, D2"
1u,C-USC0603,"C17, C18, C19, C20"
22u,CPOL-USC,"C5, C11, C15"
240k,R-US_R0603,R42
3.3k,R-US_R0603,R24
3.3u,C-USC0603,"C8, C14"
33k,R-US_R0603,R40
4.7k,R-US_R0603,"R25, R26"
470n,C-USC0603,C12
47u,CPOL-USD,"C4, C21"
49.9k,R-US_R0603,R43
510,R-US_R0603,"R17, R34, R35, R55, R56"
560p,C-USC0603,"C22, C27, C31, C42, C43"
8MHz,CRYSTALHC49UP,Q1
BAT54S,DIODE_2CACA-SOT23,D3
D6R,D6R,"SW3, SW4"
DAC124S085CIMT,DAC124S085CIMT,IC3
FIDUCIAL1X2,FIDUCIAL1X2,"F1, F2, F3, F4"
LM1117-3.3,REG1117,"IC1, IC4"
LM4040B10,LM4041B12DBZ,IC5
LM4040B25,LM4041B12DBZ,IC2
M05X2MINIJTAG,M05X2MINIJTAG,JP4
M05X2PTH,M05X2PTH,JP2
MMBT3904,MMBT3904LT1-NPN-SOT23-BEC,Q2
PJ301WQP,PJ301WQP,"J1, J2, J3, J4, J5, J6, J7, J8, J9, J10, J11, J12"
PTCSMD,PTCSMD,"P1, P2"
STM32F103CBT6,STM32F103CB,UC1
TL072D,TL072D,"IC6, IC7, IC8, IC9, IC11, IC12, IC13"
V2164SZ,SSM2164S,IC10
WP154A4SUREQBFZG,LED-TRICOLOR-THROUGHHOLE,LED5
WP710A10GD,LED3MM,"LED1, LED2, LED3, LED4"
WP7113SGD,LED5MM,LED6
