Designator,Mid X,Mid Y,Rotation,Layer
C1,14.92,79.38,270,Top
C2,25.56,73.98,180,Top
C3,36.83,73.66,90,Top
C4,76.2,73.66,90,Top
C5,55.88,69.85,270,Top
C6,52.07,68.9,90,Top
C7,22.86,67.15,180,Top
C8,22.86,65.72,180,Top
C9,14.92,64.14,90,Top
C10,33.66,62.87,270,Top
C11,62.87,62.87,180,Top
C12,52.07,61.6,90,Top
C13,31.91,55.88,90,Top
C14,33.34,55.88,90,Top
C15,55.88,55.88,270,Top
C16,52.07,54.61,90,Top
C17,32.7,50.8,90,Top
C18,35.88,50.8,90,Top
C19,39.05,50.8,90,Top
C20,42.39,50.8,90,Top
C21,83.82,50.16,180,Top
C22,48.9,43.82,90,Top
C23,19.05,43.82,90,Top
C24,28.26,43.82,90,Top
C25,36.83,43.82,90,Top
C26,44.13,43.82,90,Top
C27,51.44,43.82,90,Top
C28,56.2,43.82,270,Top
C29,60.33,43.82,90,Top
C30,68.58,43.82,90,Top
C31,77.15,43.82,270,Top
C34,75.56,40.64,90,Top
C35,16.51,39.05,90,Top
C36,33.66,35.24,270,Top
C37,23.81,35.24,270,Top
C38,15.56,31.12,270,Top
C39,27.94,31.12,270,Top
C40,36.51,31.12,270,Top
C41,41.27,31.12,90,Top
C42,48.9,31.12,90,Top
C43,51.44,31.12,90,Top
C44,60.01,31.12,270,Top
C45,64.77,31.12,90,Top
C46,68.26,31.12,270,Top
C47,73.34,31.12,90,Top
C48,80.65,31.12,90,Top
D1,84.45,81.92,0,Top
D2,84.45,60.33,180,Top
D3,74.3,48.9,180,Top
F1,7.62,99.06,0,Top
F2,81.28,99.06,0,Top
F3,7.62,5.08,0,Top
F4,81.28,5.08,0,Top
IC1,63.5,69.82,270,Top
IC2,55.88,61.91,0,Top
IC3,35.56,57.15,0,Top
IC4,63.5,55.85,270,Top
IC5,4.76,44.77,180,Top
IC6,9.21,44.77,0,Top
IC7,20.32,37.47,0,Top
IC8,30.16,37.47,0,Top
IC9,38.73,37.47,0,Top
IC10,50.16,37.47,0,Top
IC11,62.23,37.47,0,Top
IC12,70.48,37.47,0,Top
IC13,78.74,37.47,0,Top
P1,85.09,79.38,0,Top
P2,85.09,62.87,0,Top
Q1,18.41,71.76,90,Top
Q2,23.18,48.9,0,Top
R1,26.04,97.79,180,Top
R6,12.7,81.92,270,Top
R7,35.56,81.92,90,Top
R8,52.07,81.92,90,Top
R9,74.93,81.92,90,Top
R10,23.81,71.76,0,Top
R11,41.91,70.17,90,Top
R12,43.82,70.17,90,Top
R13,45.72,70.17,90,Top
R16,16.83,60.96,0,Top
R17,52.07,58.1,90,Top
R18,80.65,54.61,90,Top
R19,31.12,50.8,270,Top
R20,34.29,50.8,270,Top
R21,37.47,50.8,270,Top
R22,40.64,50.8,270,Top
R23,20.32,48.9,270,Top
R24,25.72,48.9,90,Top
R25,27.3,48.9,270,Top
R26,5.08,47.63,180,Top
R27,12.7,46.67,90,Top
R28,17.46,43.82,90,Top
R29,20.64,43.82,90,Top
R30,22.23,43.82,270,Top
R31,30.8,43.82,90,Top
R32,39.05,43.82,90,Top
R33,45.72,43.82,270,Top
R34,47.31,43.82,270,Top
R35,53.02,43.82,270,Top
R36,54.61,43.82,270,Top
R37,62.87,43.82,90,Top
R38,71.12,43.82,90,Top
R39,75.56,43.82,270,Top
R40,78.74,43.82,90,Top
R41,80.33,43.82,90,Top
R42,81.92,43.82,90,Top
R43,17.14,31.12,270,Top
R44,18.73,31.12,90,Top
R45,20.32,31.12,90,Top
R46,21.91,31.12,90,Top
R47,23.5,31.12,90,Top
R48,26.35,31.12,270,Top
R49,29.53,31.12,270,Top
R50,31.12,31.12,90,Top
R51,34.93,31.12,270,Top
R52,38.1,31.12,270,Top
R53,39.69,31.12,90,Top
R54,45.72,31.12,90,Top
R55,47.31,31.12,90,Top
R56,53.02,31.12,90,Top
R57,54.61,31.12,90,Top
R58,58.42,31.12,270,Top
R59,61.6,31.12,270,Top
R60,63.18,31.12,90,Top
R61,66.67,31.12,270,Top
R62,69.85,31.12,270,Top
R63,71.44,31.12,90,Top
R64,78.11,31.12,90,Top
R65,12.7,43.5,90,Top
SW1,20.96,97.79,180,Top
SW2,20.96,88.9,180,Top
UC1,30.48,69.85,270,Top
