Comment,Footprint,Designator
,AVR_SPI_PRG_6PTH,J15
,LED3MM,"LED2, LED3, LED4"
,M03PTH,"JP1, JP2"
,WE-CBF_0603,L1
1.0k,R-US_R0603,"R43, R44, R45, R47, R48, R49"
100,R-US_R0603,"R4, R39, R40, R41"
100k,R-US_R0603,"R9, R11, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R24, R27, R28, R29, R30, R31, R32, R33, R34, R35, R36, R37, R38"
100n,C-USC0603,"C3, C4, C5, C6, C9, C11, C13, C18"
10k,R-US_R0603,"R3, R6, R7, R8"
10kB,POT_USVERTICAL_PS,"R1, R2, R5, R25, R26, R46"
10kB,POT_USVERTICAL_PS4,R42
10n,C-USC0603,"C10, C12, C14, C15, C16, C17"
18p,C-USC0603,"C2, C7"
1M,R-US_R0603,"R10, R12"
1N5819HW,DIODE-SOD123,D1
20MHz,CRYSTALHC49UP,Q1
22u,CPOL-USC,"C1, C19"
470n,C-USC0603,C8
74HC595D,74HC595D,IC6
ATMEGA328P-AU,ATMEGA168,IC1
FIDUCIAL1X2,FIDUCIAL1X2,"F1, F2, F3, F4"
LM1117-5.0,REG1117,IC7
LM4040 5.0V,LM4041C12DBZ,IC2
LP4OA1PBCT,LP4OA1PBCT,SW1
M05X2PTH,M05X2PTH,J16
MCP6002,TL072D,"IC3, IC4, IC5"
MMBT3904,MMBT3904LT1-NPN-SOT23-BEC,"Q2, Q3"
PJ301WQP,PJ301WQP,"J1, J2, J3, J4, J5, J6, J7, J8, J9, J10, J11, J12, J13, J14"
