Designator,Mid X,Mid Y,Rotation,Layer
C1,61.6,92.08,270,Top
C2,25.72,83.82,0,Top
C3,32.7,80.33,90,Top
C4,56.83,90.17,90,Top
C5,45.72,79.38,0,Top
C6,44.77,76.84,270,Top
C7,26.67,68.58,90,Top
C8,65.41,63.18,0,Top
C9,31.75,60.96,90,Top
C10,33.66,60.96,90,Top
C11,42.86,60.96,90,Top
C12,44.77,60.96,90,Top
C13,54.61,60.96,90,Top
C14,56.52,60.96,90,Top
C15,31.75,48.26,270,Top
C16,42.86,48.26,270,Top
C17,54.61,48.26,270,Top
C18,35.24,36.83,180,Top
C19,67.31,92.08,270,Top
D1,73.03,90.17,0,Top
F1,76.2,97.79,90,Top
F2,8.26,95.25,90,Top
F3,7.62,8.89,90,Top
F4,68.58,8.89,90,Top
IC1,38.73,80.01,0,Top
IC2,65.72,68.58,270,Top
IC3,34.61,54.61,0,Top
IC4,45.72,54.61,0,Top
IC5,57.47,54.61,0,Top
IC6,33.02,30.48,270,Top
IC7,62.55,84.48,90,Top
L1,46.36,77.05,90,Top
Q1,29.53,77.15,90,Top
Q2,5.71,66.04,0,Top
Q3,13.02,66.04,0,Top
R3,38.42,87.63,90,Top
R4,22.86,83.19,270,Top
R6,10.16,65.41,270,Top
R7,8.57,65.41,270,Top
R8,67.63,65.41,180,Top
R9,4.76,62.23,270,Top
R10,6.67,62.23,90,Top
R11,12.07,62.23,270,Top
R12,13.97,62.23,90,Top
R13,35.24,60.96,90,Top
R14,36.83,60.96,270,Top
R15,38.42,60.96,270,Top
R16,46.36,60.96,90,Top
R17,47.94,60.96,270,Top
R18,49.53,60.96,270,Top
R19,58.1,60.96,90,Top
R20,59.69,60.96,270,Top
R21,61.28,60.96,270,Top
R22,38.42,57.47,90,Top
R23,49.53,57.47,90,Top
R24,61.28,57.47,90,Top
R27,38.42,52.07,270,Top
R28,49.53,52.07,270,Top
R29,61.28,52.07,270,Top
R30,33.34,48.26,270,Top
R31,34.93,48.26,90,Top
R32,36.51,48.26,90,Top
R33,44.45,48.26,270,Top
R34,46.04,48.26,90,Top
R35,47.63,48.26,90,Top
R36,56.2,48.26,270,Top
R37,57.79,48.26,90,Top
R38,59.37,48.26,90,Top
R39,47.94,43.82,0,Top
R40,60.01,43.82,0,Top
R41,72.07,43.82,0,Top
R43,32.38,19.69,270,Top
R44,33.97,19.69,270,Top
R45,35.56,19.69,270,Top
R47,32.38,8.89,270,Top
R48,33.97,8.89,270,Top
R49,35.56,8.89,270,Top
