Comment,Footprint,Designator
,WE-CBF_0603,"L1, L2"
1.0M,R-US_R0402,"R20, R21, R25, R32, R37"
1.0k,R-US_R0402,"R10, R19, R31"
1.5M,R-US_R0402,R27
100k,R-US_R0402,"R3, R4, R5, R8, R28, R29, R36"
100n,C-USC0402,"C3, C4, C7, C8, C10"
100p,C-USC0402,C12
10k,R-US_R0402,"R26, R30"
10n,C-USC0603,C11
180,R-US_R0402,"R12, R13, R14, R22, R23, R34, R35"
1N4148,DIODE-SOD523,"D3, D4, D5, D6, D7, D8, D9, D10, D11, D12"
200k,R-US_R0402,"R1, R2, R6, R7, R9, R11"
220k,R-US_R0402,"R15, R16, R17, R18"
22u,C-USC0805,"C1, C2, C5, C6"
4.7k,R-US_R0402,R24
4.7u,C-USC0603,"C9, C13"
470k,R-US_R0402,R33
LM321MF,LM321MF,"IC2, IC5"
M05X2PTH,M05X2PTH,JP1
MMBFJ309,MMBFJ3,Q3
MMBT3904,MMBT3904LT1-NPN-SOT23-BEC,"Q1, Q2"
OPA4171,TL074PW,IC4
PJ301_THONKICONN6,PJ301_THONKICONN6,"J1, J2, J3, J4, J5, J6, J7, J8, J9, J10, J11, J12"
PMEG2010AEB,DIODE-SOD523,"D1, D2"
TL074PW,TL074PW,"IC1, IC3"
WP937EGW,LED3MM,"LED1, LED2, LED3"
