Designator,Mid X,Mid Y,Rotation,Layer
C1,17.46,103.51,90,Top
C2,1.59,103.5,270,Top
C3,7.62,68.58,180,Top
C4,10.16,68.58,180,Top
C5,11.43,47.63,180,Top
C6,7.62,47.63,180,Top
C7,7.94,35.4,180,Top
C8,10.48,35.24,180,Top
C9,17.62,34.45,270,Top
C10,4.45,32.07,270,Top
C11,14.61,27.62,270,Top
C12,16.35,26.51,90,Top
C13,1.27,25.4,270,Top
D1,1.8,107.16,0,Top
D2,17.35,107.16,0,Top
D3,5.4,101.23,270,Top
D4,4.63,98.82,180,Top
D5,5.4,66.78,270,Top
D6,13.65,66.88,90,Top
D7,1.91,62.28,90,Top
D8,3.18,62.28,90,Top
D9,15.24,60.91,270,Top
D10,16.51,60.91,270,Top
D11,11.54,34.13,180,Top
D12,17.62,28.47,90,Top
IC1,9.53,99.7,270,Top
IC2,8.1,95.41,90,Top
IC3,9.53,65.09,270,Top
IC4,9.53,30.8,270,Top
IC5,7.94,25.4,90,Top
L1,17.2,105.89,0,Top
L2,1.85,105.89,180,Top
Q1,2.22,33.02,0,Top
Q2,2.22,29.21,0,Top
Q3,11.59,25.08,0,Top
R1,14.61,100.65,180,Top
R2,2.86,100.49,270,Top
R3,4.13,100.49,90,Top
R4,14.61,99.38,0,Top
R5,14.61,98.11,0,Top
R6,2.22,97.47,180,Top
R7,13.34,96.84,0,Top
R8,15.88,96.84,0,Top
R9,14.61,95.57,0,Top
R10,2.54,95.25,270,Top
R11,11.43,95.09,90,Top
R12,13.34,94.3,180,Top
R13,11.43,81.92,180,Top
R14,16.83,81.92,0,Top
R15,3.49,66.67,180,Top
R16,15.56,66.67,0,Top
R17,3.49,65.41,180,Top
R18,15.56,65.41,0,Top
R19,7.62,60.96,90,Top
R20,12.7,60.96,270,Top
R21,13.97,60.96,270,Top
R22,2.22,47.63,0,Top
R23,16.83,47.63,180,Top
R24,2.22,35.56,0,Top
R25,16.19,34.45,90,Top
R26,15.72,32.38,180,Top
R27,5.56,32.07,270,Top
R28,15.72,31.11,180,Top
R29,5.08,30.32,180,Top
R30,16.35,29.05,90,Top
R31,7.78,27.62,0,Top
R32,11.27,27.62,180,Top
R33,2.54,25.72,90,Top
R34,2.22,11.75,180,Top
R35,11.11,11.75,180,Top
R36,17.14,11.75,180,Top
R37,7.78,11.75,0,Top
