Comment,Footprint,Designator
1.0k,R-US_R0603,"R3, R11, R19"
100k,R-US_R0603,"R6, R7, R8, R9, R10, R14, R16, R17, R18, R20"
100n,C-USC0603,"C3, C4, C5, C7, C8, C10"
10M,R-US_R0603,R1
10p,C-USC0603,"C6, C9"
1N5819HW,DIODE-SOD123,"D1, D2"
33k,R-US_R0603,R15
4.7u,CPOL-USA,"C1, C2"
51,R-US_R0603,"R2, R4, R5, R12, R13, R21"
LM321MF,LM321MF,"IC3, IC5"
M05X2PTH,M05X2PTH,JP1
OPA4171,TL074PW,IC1
PJ301_THONKICONN6,PJ301_THONKICONN6,"J1, J2, J3, J4, J5, J6, J7, J8, J9, J10, J11, J12"
TL072PW,TL072PW,"IC2, IC4"
WP937EGW,LED3MM,"LED1, LED2, LED3"
