Designator,Mid X,Mid Y,Rotation,Layer
C1,4.45,99.06,270,Top
C2,15.24,99.06,270,Top
C3,1.91,98.74,90,Top
C4,17.78,99.38,90,Top
C5,8.57,68.9,180,Top
C6,14.45,66.67,90,Top
C7,7.94,64.45,180,Top
C8,8.89,35.24,180,Top
C9,13.81,31.91,90,Top
C10,6.35,28.26,90,Top
D1,1.59,104.62,90,Top
D2,17.46,104.62,270,Top
IC1,9.53,99.38,270,Top
IC2,10.16,66.67,270,Top
IC3,15.88,62.55,180,Top
IC4,9.21,31.43,270,Top
IC5,16.19,27.62,180,Top
R1,3.81,94.46,0,Top
R2,12.38,95.57,270,Top
R3,6.83,95.25,90,Top
R4,7.94,81.92,180,Top
R5,16.67,81.92,180,Top
R6,5.08,66.67,180,Top
R7,15.88,66.67,90,Top
R8,4.29,64.45,90,Top
R9,5.71,64.45,90,Top
R10,11.11,64.45,0,Top
R11,13.02,60.96,270,Top
R12,7.94,47.63,180,Top
R13,16.67,47.63,0,Top
R14,8.89,33.81,0,Top
R15,3.81,32.54,180,Top
R16,15.24,31.91,90,Top
R17,2.86,30.32,90,Top
R18,4.76,30.32,90,Top
R19,13.65,27.94,270,Top
R20,3.81,27.3,90,Top
R21,16.67,12.07,180,Top
