Comment,Footprint,Designator
,M02PTH,JP2
,M04PTH,JP1
,TAC_SWITCHPTH,"SW3, SW4, SW5, SW6, SW7"
,WE-CBF_0603,"L2, L3, L4"
1.0k,R-US_R0402,R68
1.0k,R-US_R0603,"R45, R46, R62, R63, R85, R86, R87"
1.5k,R-US_R0402,"R10, R12, R17, R18, R36"
100,R-US_R0402,"R2, R3, R7, R8"
100k,R-US_R0402,"R24, R25, R26, R27, R32, R33, R34, R35, R43, R44, R60, R61, R64, R65, R66, R73, R76, R77"
100n,C-USC0402,"C1, C7, C8, C9, C12, C13, C16, C17, C18, C19, C21, C24, C26, C28, C29, C36, C37, C38, C39, C46, C47, C48, C49, C50"
10k,R-US_R0402,"R6, R22, R23, R55, R56, R67"
10kB,POT_USVERTICAL_PS,"R4, R13, R14, R16, R20, R21, R37, R38"
150k,R-US_R0402,R74
180,R-US_R0402,"R82, R83, R84"
1N4148,DIODE-SOD523,"D4, D5"
1N5819HW,DIODE-SOD123,"D1, D2"
2.2k,R-US_R0402,"R9, R11, R15, R19"
2.2u,C-USC0805,"C10, C15, C20"
200k,R-US_R0402,"R28, R29, R30, R31, R70, R71, R72"
20p,C-USC0402,"C4, C6"
22u,C-USC1206,"C3, C5, C14"
22u,CPOL-USC,"C2, C11, C22, C23, C27"
23.7k,R-US_R0402,"R47, R48, R53, R54"
33k,R-US_R0402,"R39, R40, R41, R42, R57, R58, R59"
33u,L-USL2012C,L1
39,R-US_R0402,"R1, R5"
39k,R-US_R0402,"R49, R50, R75"
4.7n,C-USC0402,"C30, C32, C33, C40, C42"
470n,C-USC0402,"C25, C51, C52"
470p,C-USC0402,"C31, C41"
47p,C-USC0402,"C34, C35, C43, C44"
56k,R-US_R0402,"R51, R52, R69"
680,R-US_R0402,"R78, R79, R80, R81"
8MHz,CRYSTAL,Q1
BAT54S,DIODE_2CACA-SOT23,D3
DAC8164ICPW,DAC8564,IC4
ESD,C-USC0603,"C45, C53, C54, C55, C56, C57, C58"
FIDUCIAL1X2,FIDUCIAL1X2,"F1, F2, F3"
LD2981ABU33,LD2981ABU,IC3
LM324PW,TL074PW,IC9
LM4040B10,LM4041B12DBZ,IC8
LP4OA1PBCT,LP4OA1PBCT,"SW1, SW2"
M05X2SHD,M05X2SHD,JP4
MCP6004,TL074PW,"IC5, IC6"
MMBT3904,MMBT3904LT1-NPN-SOT23-BEC,"Q2, Q3"
MOUNT-HOLE3.0TINY,MOUNT-HOLE3.0TINY,"H3, H5"
OPA4171,TL074PW,IC7
PJ301_THONKICONN6,PJ301_THONKICONN6,"J1, J2, J3, J4, J5, J6, J7, J8, J9, J10, J11, J12, J13, J14, J15, J16"
R-78E3.3-0.5,WE173950378,IC1
STM32F405RGT6,STM32F20X,IC2
TL074PW,TL074PW,IC10
W115WSURKMGKW,LED-BICOLOR-THROUGHHOLE2.54,"LED1, LED2, LED3, LED4, LED5"
WP937EGW,LED-BICOLOR-SHARED-THROUGHHOLE,"LED6, LED7, LED8, LED9, LED10, LED11, LED12"
