Designator,Mid X,Mid Y,Rotation,Layer
C1,30.48,95.89,270,Top
C2,26.99,94.62,90,Top
C3,14.29,94.3,0,Top
C4,60.96,93.66,90,Top
C5,14.29,92.08,0,Top
C6,53.02,92.39,270,Top
C7,67.63,90.17,270,Top
C8,40.01,88.9,270,Top
C9,48.74,86.84,90,Top
C10,45.24,86.04,180,Top
C11,12.86,83.82,90,Top
C12,58.74,83.19,270,Top
C13,43.5,82.55,90,Top
C14,12.38,78.74,180,Top
C15,43.18,74.3,270,Top
C16,45.09,73.66,270,Top
C17,21.59,73.34,180,Top
C18,66.04,73.18,180,Top
C19,56.2,72.39,270,Top
C20,54.61,70.48,270,Top
C21,56.99,69.37,180,Top
C22,6.03,68.58,180,Top
C23,14.92,68.58,0,Top
C24,39.37,62.23,270,Top
C25,57.15,60.8,0,Top
C26,53.66,60.64,180,Top
C27,54.29,55.09,90,Top
C28,7.62,49.85,180,Top
C29,80.01,49.85,180,Top
C30,13.81,41.91,180,Top
C31,17.62,41.91,0,Top
C32,20,41.91,180,Top
C33,22.54,41.91,0,Top
C34,64.77,38.42,0,Top
C35,73.03,38.42,180,Top
C36,53.66,37.78,270,Top
C37,74.93,35.56,180,Top
C38,29.69,34.93,180,Top
C39,63.18,34.93,180,Top
C40,14.13,33.66,180,Top
C41,19.37,33.66,180,Top
C42,23.18,33.66,0,Top
C43,65.09,32.7,0,Top
C44,72.71,32.7,180,Top
C45,86.04,32.07,90,Top
C46,15.72,31.75,270,Top
C47,21.27,31.75,270,Top
C48,50.32,31.75,90,Top
C49,59.53,31.75,270,Top
C50,38.26,31.12,270,Top
C51,74.61,30.16,180,Top
C52,30.8,28.89,0,Top
C53,5.08,28.42,180,Top
C54,49.85,22.23,90,Top
C55,61.91,19.69,90,Top
C56,14.92,17.14,90,Top
C57,61.91,16.51,90,Top
C58,23.34,13.97,180,Top
D1,23.18,100.33,90,Top
D2,5.71,73.03,0,Top
D3,33.34,54.93,180,Top
D4,33.81,51.17,90,Top
D5,37.78,49.8,270,Top
F1,84.77,104.14,0,Top
F2,87,5.08,0,Top
F3,2.54,2.54,0,Top
IC2,51.13,79.08,270,Top
IC3,13.65,74.37,180,Top
IC4,57.47,65.09,90,Top
IC5,15.72,37.78,0,Top
IC6,21.27,37.78,0,Top
IC7,68.9,35.56,270,Top
IC8,31.12,32.7,270,Top
IC9,42.7,32.23,270,Top
IC10,54.77,31.12,270,Top
L1,10.79,93.24,90,Top
L2,16.09,86.84,0,Top
L3,15.56,78.8,90,Top
L4,9.53,71.5,90,Top
Q1,56.83,93.03,0,Top
Q2,35.88,53.18,0,Top
Q3,39.37,53.18,0,Top
R1,20.32,97.16,90,Top
R2,51.75,96.2,270,Top
R3,52.86,96.2,270,Top
R5,76.84,94.93,0,Top
R6,66.67,90.17,270,Top
R7,54.29,89.69,0,Top
R8,55.88,88.74,0,Top
R9,4.45,85.09,180,Top
R10,6.99,85.09,0,Top
R11,81.92,84.77,180,Top
R12,84.45,84.77,0,Top
R15,63.18,66.36,270,Top
R17,64.77,65.72,0,Top
R18,28.89,65.09,180,Top
R19,28.89,61.91,180,Top
R22,36.51,55.88,0,Top
R23,38.74,55.88,180,Top
R24,36.04,50.48,180,Top
R25,39.53,50.48,180,Top
R26,36.04,49.37,180,Top
R27,39.53,49.37,180,Top
R28,16.99,46.36,90,Top
R29,20.64,46.36,90,Top
R30,15.72,45.09,90,Top
R31,21.91,44.93,90,Top
R32,23.18,44.93,90,Top
R33,13.81,44.45,180,Top
R34,17.62,44.45,0,Top
R35,20,44.45,180,Top
R36,46.99,43.97,270,Top
R39,13.81,43.18,0,Top
R40,17.62,43.18,180,Top
R41,20,43.18,0,Top
R42,22.54,43.18,180,Top
R43,64.77,39.69,180,Top
R44,73.02,39.69,0,Top
R45,67.31,39.05,180,Top
R46,70.48,39.05,0,Top
R47,64.14,36.83,180,Top
R48,73.66,36.83,0,Top
R49,45.4,36.35,180,Top
R50,40.01,36.35,0,Top
R51,40.01,35.4,180,Top
R52,45.4,35.4,0,Top
R53,73.66,34.29,0,Top
R54,64.29,33.81,180,Top
R55,47.15,33.34,90,Top
R56,38.26,33.34,90,Top
R57,14.13,32.38,0,Top
R58,19.37,32.38,0,Top
R59,23.18,32.38,180,Top
R60,62.87,32.07,90,Top
R61,74.93,32.07,90,Top
R62,64.77,31.43,0,Top
R63,72.87,31.43,180,Top
R64,14.13,31.12,180,Top
R65,19.37,31.12,180,Top
R66,23.18,31.12,0,Top
R67,47.15,31.12,270,Top
R68,30.8,30.16,180,Top
R69,46.04,29.53,0,Top
R70,15.08,29.21,270,Top
R71,20,29.21,270,Top
R72,22.54,29.21,270,Top
R73,74.61,28.58,0,Top
R74,77.15,28.58,0,Top
R75,46.04,28.57,180,Top
R76,11.11,26.67,180,Top
R77,75.25,24.45,270,Top
R78,37.47,12.7,180,Top
R79,49.53,12.7,180,Top
R80,61.6,12.7,180,Top
R81,73.66,12.7,180,Top
R82,2.86,10.48,90,Top
R83,14.92,10.48,90,Top
R84,26.99,10.48,90,Top
R85,13.65,7.3,90,Top
R86,25.72,7.3,90,Top
R87,26.99,3.81,90,Top
