Comment,Footprint,Designator
,EVQQ2,"SW3, SW5"
,LED3MM,"LED1, LED2, LED3, LED4, LED5"
,M06SIP,JP1
,TAC_SWITCHPTH,"SW1, SW2"
,WE-CBF_0603,L1
1.0k,R-US_R0603,"R20, R31"
100,R-US_R0603,"R2, R4, R6, R7, R8"
100k,R-US_R0603,"R15, R27"
100n,C-USC0603,"C3, C5, C8, C9, C10, C12, C16, C18, C21, C24"
10k,R-US_R0603,"R3, R13, R16, R28"
10kB,POT_USVERTICAL_PS,"R1, R5, R11, R21"
18p,C-USC0603,"C6, C7, C17, C23"
1N5819HW,DIODE-SOD123,"D1, D2"
220p,C-USC0603,"C14, C15, C19, C20"
22u,CPOL-USC,"C1, C2, C4"
249k,R-US_R0603,"R18, R29"
3.3k,R-US_R0603,"R9, R25"
3.3u,C-USC0603,C13
309k,R-US_R0603,"R19, R30"
33,R-US_R0603,"R10, R23"
39k,R-US_R0603,"R12, R14, R17, R22, R24, R26"
470n,C-USC0603,"C11, C22"
8MHz,CRYSTALHC49UP,Q1
DAC8552,DAC8552,IC3
FIDUCIAL1X2,FIDUCIAL1X2,"F1, F2, F3, F4"
LM1117-3.3,REG1117,IC1
LM4040B10,LM4041B12DBZ,IC6
LM4040B25,LM4041B12DBZ,IC2
LP4OA1PBCT,LP4OA1PBCT,"SW4, SW6"
M05X2MINIJTAG,M05X2MINIJTAG,JP2
M05X2PTH,M05X2PTH,JP3
MMBT3904,MMBT3904LT1-NPN-SOT23-BEC,"Q2, Q3"
OPA2171,TL072D,"IC4, IC5"
PJ301_THONKICONN6,PJ301_THONKICONN6,"J1, J2, J3, J4"
STM32F103CBT6,STM32F103CB,UC1
