Designator,Mid X,Mid Y,Layer,Rotation,,
C1,15.56,101.6,Top,270,22u,C1206
C2,17.78,101.6,Top,270,22u,C1206
C3,15.56,96.52,Top,270,10u,PANASONIC_A
C4,45.09,96.52,Top,180,22u,PANASONIC_B
C5,51.44,96.52,Top,180,22u,PANASONIC_B
C6,18.1,95.57,Top,90,100n,C0402
C7,34.93,90.65,Top,180,10u,PANASONIC_A
C8,34.13,87.47,Top,90,100n,C0402
C9,16.67,82.07,Top,0,1u,C0402
C10,16.67,80.8,Top,0,100n,C0402
C11,10.79,79.06,Top,180,100n,C0402
C12,46.99,79.06,Top,180,100n,C0402
C13,52.71,78.74,Top,0,22u,C1206
C14,5.71,78.11,Top,180,20p,C0402
C15,12.86,76.36,Top,270,100n,C0402
C16,37.78,75.41,Top,180,10u,PANASONIC_A
C17,35.4,73.03,Top,0,100n,C0402
C18,37.78,73.02,Top,0,100n,C0402
C19,10.16,72.55,Top,90,1u,C0402
C20,11.43,72.55,Top,90,100n,C0402
C21,6.99,70.33,Top,0,20p,C0402
C22,51.91,69.53,Top,180,10u,PANASONIC_A
C23,22.15,68.1,Top,180,100n,C0402
C24,22.15,66.83,Top,180,1u,C0402
C25,16.83,65.25,Top,270,1u,C0402
C26,17.94,65.25,Top,270,100n,C0402
C27,34.61,64.77,Top,270,100n,C0402
C28,40.96,63.98,Top,0,100n,C0402
C29,36.35,62.23,Top,0,2.2u,C0805
C30,40.96,60.8,Top,90,10u,PANASONIC_A
C31,36.35,60.01,Top,180,2.2u,C0805
C32,9.53,51.75,Top,180,100n,C0402
C33,37.15,51.75,Top,90,1.0n,C0402
C34,48.26,51.75,Top,180,100n,C0402
C35,40.8,51.75,Top,90,1.0n,C0402
C36,9.21,49.21,Top,180,100n,C0402
C37,53.02,47.94,Top,0,100n,C0402
C38,6.03,47.63,Top,90,100p,C0402
C39,14.29,47.63,Top,90,1.0n,C0402
C40,26.67,47.63,Top,90,1.0n,C0402
C41,34.93,47.63,Top,90,1.0n,C0402
C42,45.09,47.31,Top,90,100p,C0402
C43,53.98,46.04,Top,90,100p,C0402
C44,26.04,45.72,Top,180,100n,C0402
C45,45.09,44.77,Top,270,100n,C0402
C46,6.03,43.82,Top,270,100p,C0402
C47,14.29,43.82,Top,270,1.0n,C0402
