Designator,Mid X,Mid Y,Rotation,Layer
C1,34.29,95.57,180,Top
C2,17.46,94.3,90,Top
C3,24.77,94.3,90,Top
C4,30.16,92.71,270,Top
C5,43.82,92.71,270,Top
C6,10.79,87.31,0,Top
C7,31.43,86.36,180,Top
C8,5.71,84.77,0,Top
C9,31.43,85.09,180,Top
C10,41.91,82.55,0,Top
C11,26.99,81.47,90,Top
C12,60.96,78.42,270,Top
C13,63.5,77.79,90,Top
C14,4.76,76.52,90,Top
C15,12.07,75.88,0,Top
C16,26.99,74.61,90,Top
C17,40.96,71.76,270,Top
C18,42.23,71.76,270,Top
C19,4.13,70.48,270,Top
C20,28.89,71.44,270,Top
C21,52.07,70.17,270,Top
C22,38.73,69.22,0,Top
C23,55.25,68.26,180,Top
C24,64.45,68.26,0,Top
C25,52.39,66.99,0,Top
C26,6.35,64.77,270,Top
C27,39.05,65.41,180,Top
C28,18.73,62.23,180,Top
C29,25.08,62.23,0,Top
C30,40.01,60.01,270,Top
C31,41.27,60.01,270,Top
C32,41.59,53.34,90,Top
C33,46.04,53.34,90,Top
C34,50.48,53.34,90,Top
C35,53.02,53.34,270,Top
C36,18.73,51.44,180,Top
C37,21.91,51.44,0,Top
C38,25.08,51.44,0,Top
C39,47.31,46.99,0,Top
C40,53.66,46.99,90,Top
C41,29.21,46.04,90,Top
C42,36.83,46.04,90,Top
C43,46.36,44.77,90,Top
C44,61.6,43.5,0,Top
C45,35.88,43.18,0,Top
C46,15.24,29.53,270,Top
C47,55.88,29.21,90,Top
C48,12.7,27.3,270,Top
C49,37.78,13.65,180,Top
D1,19.05,101.28,90,Top
D2,39.05,101.28,270,Top
D3,27.94,53.02,180,Top
F1,1.59,105.09,0,Top
F2,67.63,105.09,0,Top
F3,1.59,1.59,0,Top
F4,67.63,1.59,0,Top
IC1,9.09,93.03,90,Top
IC2,34.94,77.5,270,Top
IC3,12.07,73.34,180,Top
IC4,61.6,73.02,270,Top
IC5,7.3,70.48,0,Top
IC6,46.99,61.29,270,Top
IC7,21.91,56.83,0,Top
IC8,41.59,45.09,270,Top
L1,20.64,102.65,270,Top
L2,37.47,102.65,270,Top
L3,27.21,87.63,0,Top
Q1,37.15,89.85,0,Top
Q2,11.43,80.33,270,Top
Q3,60.01,65.09,0,Top
R1,10.79,102.87,270,Top
R2,16.83,101.28,90,Top
R3,10.79,99.7,90,Top
R4,54.29,96.84,90,Top
R5,55.88,96.84,90,Top
R6,46.67,92.39,0,Top
R7,51.12,92.39,0,Top
R8,10.79,83.82,90,Top
R11,7.62,80.65,0,Top
R12,12.07,77.47,180,Top
R13,6.35,76.52,270,Top
R14,7.94,76.52,90,Top
R15,9.53,76.52,90,Top
R16,43.66,68.58,90,Top
R17,45.09,68.58,90,Top
R18,7.94,64.77,90,Top
R19,9.53,64.77,270,Top
R20,11.11,64.77,270,Top
R21,18.73,65.41,180,Top
R22,25.08,65.41,0,Top
R23,20.96,64.77,270,Top
R24,22.86,64.77,270,Top
R25,18.73,63.82,0,Top
R26,25.08,63.82,180,Top
R27,52.71,60.01,270,Top
R31,18.73,49.85,0,Top
R32,25.08,49.85,180,Top
R33,42.23,48.9,180,Top
R34,18.73,48.26,180,Top
R35,25.08,48.26,0,Top
R36,20.96,47.94,90,Top
R37,22.86,47.94,90,Top
R38,51.12,46.67,270,Top
R39,32.07,46.04,90,Top
R40,33.66,46.04,90,Top
R41,35.24,46.04,270,Top
R42,47.94,44.77,270,Top
R43,49.53,44.77,90,Top
R44,52.07,43.82,0,Top
R50,15.88,24.13,90,Top
R51,37.78,12.07,0,Top
R52,14.29,9.53,270,Top
R53,28.89,9.53,270,Top
R54,40.01,2.86,270,Top
R55,42.23,2.86,90,Top
R56,55.25,2.86,90,Top
R57,16.19,8.26,270,Top
SJ1,54,12.38,180,Top
SW3,43.5,99.06,270,Top
SW4,50.16,99.06,90,Top
