Comment,Footprint,Designator
1.0k,R-US_R0603,"R14, R17, R19, R21, R28, R32, R41, R46"
100k,R-US_R0603,"R9, R20, R29, R31, R35, R37, R38, R40, R42, R45"
100n,C-USC0603,"C5, C10, C13, C15, C19, C20, C21, C28"
10kB,POT_USVERTICAL_PS,"R7, R18, R33"
15k,R-US_R0603,"R36, R47"
1N4148,DIODE-SOD323-W,"D5, D6"
1N5819HW,DIODE-SOD123,"D3, D4"
220n,C-USC0603,"C11, C25"
220p,C-USC0603,"C1, C4, C6, C9"
22k,R-US_R0603,"R16, R25"
27k,R-US_R0603,R23
300k,R-US_R0603,R15
33k,R-US_R0603,"R1, R2, R5, R6, R8, R12, R13, R43"
39k,R-US_R0603,"R27, R30, R44"
4.7u,CPOL-USB,C16
47k,R-US_R0603,"R22, R26, R34"
47p,C-USC0603,"C22, C23, C26, C27"
47u,CPOL-USD,"C12, C14"
510,R-US_R0603,"R3, R4, R10, R11"
560p,C-USC0603,"C2, C3, C7, C8, C17, C18, C24"
5k,R-TRIMM3296X,R100
6.8k,R-US_R0603,R39
62k,R-US_R0603,R24
FIDUCIAL1X2,FIDUCIAL1X2,"F1, F2, F3, F4"
LM13700M,LM13700M,IC4
LM4040 5.0V,LM4041C12DBZ,IC7
M05X2PTH,M05X2PTH,JP1
MMBT3906,MMBT3906LT1-PNP-SOT23-BEC,"Q1, Q2"
PJ301_THONKICONN6,PJ301_THONKICONN6,"J1, J2, J3, J4, J5, J6, J7, J8, J9"
PTCSMD,PTCSMD,"P1, P2"
TL072D,TL072D,"IC1, IC3"
TL074D,TL074D,"IC5, IC6"
V2164,SSM2164S,IC2
