Designator,Mid X,Mid Y,Rotation,Layer
C1,17.78,101.6,90,Top
C2,24.13,101.6,270,Top
C3,27.94,101.6,270,Top
C4,34.61,101.6,90,Top
C5,14.29,100.97,90,Top
C6,17.46,88.58,270,Top
C7,24.13,88.58,90,Top
C8,27.94,88.58,90,Top
C9,34.61,88.58,270,Top
C10,36.51,88.58,90,Top
C11,6.67,82.23,90,Top
C12,34.93,80.65,270,Top
C13,11.75,79.06,90,Top
C14,28.89,71.44,90,Top
C15,12.7,65.72,90,Top
C16,3.81,64.77,90,Top
C17,16.83,61.28,270,Top
C18,26.35,61.28,270,Top
C19,28.26,61.28,270,Top
C20,29.85,61.28,90,Top
C21,9.53,59.69,270,Top
C22,4.45,54.93,90,Top
C23,12.38,54.93,90,Top
C24,16.51,46.99,90,Top
C25,24.77,43.82,270,Top
C26,4.45,40.96,270,Top
C27,12.38,40.96,270,Top
C28,15.56,40.96,270,Top
D3,28.58,79.69,0,Top
D4,28.57,77.47,0,Top
D5,13.02,49.53,90,Top
D6,14.92,49.53,270,Top
F1,1.91,104.78,90,Top
F2,37.47,104.78,90,Top
F3,1.91,1.91,90,Top
F4,37.47,1.91,90,Top
IC1,17.14,95.25,0,Top
IC2,26.04,95.25,0,Top
IC3,34.93,95.25,0,Top
IC4,7.94,72.39,0,Top
IC5,20.32,53.98,0,Top
IC6,6.99,48.26,0,Top
IC7,29.21,43.18,180,Top
P1,28.58,82.23,0,Top
P2,34.93,60.64,0,Top
Q1,26.35,65.09,90,Top
Q2,13.97,61.28,90,Top
R1,19.37,101.6,270,Top
R2,20.96,101.6,90,Top
R3,22.54,101.6,270,Top
R4,29.53,101.6,270,Top
R5,31.12,101.6,270,Top
R6,32.7,101.6,90,Top
R8,19.05,88.58,270,Top
R9,20.64,88.58,90,Top
R10,22.54,88.58,90,Top
R11,29.53,88.58,90,Top
R12,31.12,88.58,90,Top
R13,32.7,88.58,270,Top
R14,5.08,79.06,270,Top
R15,6.67,79.06,90,Top
R16,8.26,79.06,90,Top
R17,9.84,79.06,90,Top
R19,7.62,65.72,90,Top
R20,9.21,65.72,90,Top
R21,10.79,65.72,90,Top
R22,18.41,61.28,90,Top
R23,20,61.28,270,Top
R24,21.59,61.28,270,Top
R25,23.18,61.28,270,Top
R26,24.77,61.28,90,Top
R27,7.62,59.69,270,Top
R28,2.86,54.93,90,Top
R29,6.03,54.93,90,Top
R30,7.62,54.93,270,Top
R31,10.79,54.93,90,Top
R32,13.97,54.93,90,Top
R34,18.1,46.99,90,Top
R35,19.69,46.99,90,Top
R36,21.27,46.99,270,Top
R37,24.77,46.99,90,Top
R38,26.35,46.99,270,Top
R39,26.35,43.82,90,Top
R40,31.75,43.5,90,Top
R41,2.86,40.96,270,Top
R42,6.03,40.96,270,Top
R43,7.62,40.96,90,Top
R44,9.21,40.96,90,Top
R45,10.79,40.96,270,Top
R46,13.97,40.96,270,Top
R47,26.99,12.38,0,Top
