Comment,Footprint,Parts
0,R-US_R0402,R55
1.0k,R-US_R0603,"R65, R66, R67"
1.50k,R-US_R0402,"R22, R23, R27, R28, R61"
100k,R-US_R0402,"R24, R36, R37, R39, R40, R49, R54, R58, R59"
100n,C-USC0402,"C2, C7, C11, C12, C15, C18, C19, C20, C23, C24, C28, C29, C32, C33"
10M,R-US_R0402,"R35, R70"
10kB,POT_USVERTICAL_NARROW,"R51, R52"
10kB,POT_USVERTICAL_PS,"R16, R29"
16.2k,R-US_R0402,"R9, R10, R12, R14, R38, R63"
1N4148,DIODE-SOD523,"D3, D4, D7, D8"
1N5819HW,DIODE-SOD123,"D1, D2"
220p,C-USC0603,"C8, C9, C13, C14"
22k,R-US_R0402,"R31, R69"
22p,C-USC0402,"C26, C27, C30, C31"
22u,CPOL-USB,"C6, C10"
30k,R-US_R0402,"R48, R50, R56, R57, R60"
33.2k,R-US_R0402,"R1, R2, R5, R7, R8, R13, R15, R17, R18, R20, R25, R26, R42, R44, R45, R46"
39k,R-US_R0402,"R30, R34"
4.7u,C-USC1206,"C16, C17"
510,R-US_R0402,"R3, R4, R6, R11"
51k,R-US_R0402,"R32, R33, R43, R68"
560p,C-USC0402,"C1, C3, C4, C5, C21, C22, C25"
5k,R-TRIMM3296X,R41
6.8k,R-US_R0402,"R53, R62"
68k,R-US_R0402,"R47, R64"
742792664,WE-CBF_0603,"L1, L2"
820,R-US_R0402,"R19, R21"
BZT585B3V3T,DIODE-SOD523,"D5, D6"
LM13700M,LM13700M,IC5
LM4040B10,LM4041B12DBZ,"IC3, IC4"
M05X2SHD,M05X2SHD,JP1
MMBT3906,MMBT3906LT1-PNP-SOT23-BEC,"Q1, Q2"
OPA1679,OPA1679PW,"IC2, IC7, IC8"
OSC54L3131A ,LED3MM,LED2
OSC84L3131A,LED3MM,LED1
PJ301_THONKICONNTME,PJ301_THONKICONNTME,"J1, J2, J3, J4, J5, J6, J7, J8, J9"
PTCSMD,PTCSMD,P1
S-ON-ON-ONSS70070F-0202,S-ON-ON-ONSS70070F-0202,SW1
TL074,TL074PW,IC6
TVS,TVS,"D9, D10, D11, D12, D13, D14"
V2164SZ,SSM2164S,IC1
