Comment,Footprint,Designator
,M03PTH,"JP1, JP2, JP3"
1.0k,R-US_R0603,"R4, R10, R21"
100.0k,R-US_R0402,"R1, R2, R5, R6, R7, R8, R11, R12, R13, R14, R15, R16, R17, R18, R19, R22, R23, R24, R25, R27, R29"
100n,C-USC0402,"C2, C3, C6, C7, C9, C10, C11, C12, C14, C15, C16"
10kB,POT_USVERTICAL_PS,"R3, R9, R20"
10u,C-USC1210,"C1, C5"
1N5819HW,DIODE-SOD123,"D1, D2"
22p,C-USC0402,"C4, C8, C13"
3.3k,R-US_R0402,R28
39k,R-US_R0402,"R26, R30, R31"
742792664,WE-CBF_0603,"L1, L2"
CYAN,LED3MM,"LED1, LED3, LED5"
LM324PW,TL074PW,IC6
LM4040B10,LM4041B12DBZ,IC5
M05X2SHD,M05X2SHD,JP4
OPA1678,OPA1678DGK,"IC1, IC2, IC3, IC4"
PINK,LED3MM,"LED2, LED4, LED6"
PJ301_THONKICONNTME,PJ301_THONKICONNTME,"J1, J2, J3, J4, J5, J6"
S-ON-ON-ONSS70070F-0202,S-ON-ON-ONSS70070F-0202,"SW1, SW2, SW3"
TVS,TVS,"D3, D4, D5, D6, D7, D8"
