Designator,Mid X,Mid Y,Rotation,Layer
C1,23.5,104.14,180,Top
C2,9.84,99.38,90,Top
C3,13.65,93.66,90,Top
C4,11.43,92.87,180,Top
C5,26.04,89.54,270,Top
C6,9.84,77.15,90,Top
C7,13.65,71.44,90,Top
C8,11.43,70.64,180,Top
C9,9.84,66.36,90,Top
C10,13.65,60.64,90,Top
C11,9.84,54.93,90,Top
C12,13.65,49.21,90,Top
C13,11.43,48.42,180,Top
C14,19.37,28.26,180,Top
C15,10,27.62,270,Top
C16,22.86,26.99,270,Top
D1,26.99,99.06,270,Top
D2,26.04,80.33,90,Top
D3,26.04,43.18,270,Top
D4,3.18,40.96,180,Top
D5,3.18,26.35,180,Top
D6,24.45,14.76,90,Top
D7,26.35,14.76,90,Top
D8,3.18,11.75,180,Top
IC1,11.75,96.52,0,Top
IC2,11.75,74.3,0,Top
IC3,11.75,63.5,0,Top
IC4,11.75,52.07,0,Top
IC5,24.92,28.73,0,Top
IC6,14.61,28.26,270,Top
L1,26.99,103.45,270,Top
L2,26.04,85.19,270,Top
R1,11.11,101.76,90,Top
R2,11.75,100.17,180,Top
R4,9.68,93.5,270,Top
R5,11.43,91.76,180,Top
R6,19.05,87.79,0,Top
R7,11.11,79.53,90,Top
R8,11.75,77.95,180,Top
R10,9.68,71.28,270,Top
R11,11.43,69.53,180,Top
R12,11.43,68.26,0,Top
R13,13.02,67.79,270,Top
R14,11.43,67.15,180,Top
R15,4.45,65.72,0,Top
R16,10.95,60.01,180,Top
R17,12.54,59.37,90,Top
R18,11.11,57.15,90,Top
R19,11.75,55.56,180,Top
R21,9.68,48.89,270,Top
R22,11.43,47.31,180,Top
R23,13.02,46.67,90,Top
R24,19.05,46.51,0,Top
R25,6.99,44.93,0,Top
R26,15.24,41.75,180,Top
R27,6.99,30.48,0,Top
R28,22.23,28.89,0,Top
R29,6.99,15.88,0,Top
R30,15.24,15.24,180,Top
R31,15.24,12.06,180,Top
