Designator,Mid X,Mid Y,Rotation,Layer
C1,29.53,104.46,180,Top
C2,36.83,104.46,180,Top
C3,30.16,96.2,0,Top
C4,33.97,96.2,180,Top
C5,61.91,95.25,0,Top
C6,51.44,94.62,90,Top
C7,61.6,93.03,90,Top
C8,53.34,89.54,90,Top
C9,59.05,88.9,0,Top
C10,30.16,88.27,270,Top
C11,39.69,88.27,270,Top
C12,29.53,85.09,270,Top
C13,40.32,85.09,90,Top
C14,63.82,84.45,0,Top
C15,49.53,83.82,270,Top
C16,30.16,81.92,90,Top
C17,39.69,81.92,90,Top
C18,65.09,81.6,90,Top
C19,50.8,81.28,0,Top
C20,61.28,77.47,90,Top
C21,51.44,67.31,270,Top
C22,61.91,67.31,90,Top
C23,30.16,64.14,270,Top
C24,46.04,64.14,90,Top
C25,51.44,64.14,270,Top
C26,61.28,64.14,270,Top
C27,29.53,60.96,270,Top
C28,40.64,60.01,180,Top
C29,48.58,60.64,90,Top
C30,64.14,58.74,270,Top
C31,64.14,63.82,90,Top
C32,39.69,57.79,90,Top
C33,48.58,57.47,270,Top
C34,62.87,57.15,90,Top
C35,60.01,50.8,180,Top
C36,51.44,42.86,270,Top
C37,61.91,42.86,90,Top
C38,30.16,40.32,270,Top
C39,46.04,40.32,90,Top
C40,51.44,39.69,270,Top
C41,61.28,39.69,270,Top
C42,62.23,37.47,0,Top
C43,29.53,37.15,270,Top
C44,40.64,36.2,180,Top
C45,48.58,35.24,90,Top
C46,39.69,33.97,90,Top
C47,64.14,33.34,270,Top
C48,48.58,32.07,270,Top
C49,62.87,31.75,90,Top
C50,34.29,25.4,180,Top
C51,58.1,25.08,0,Top
C52,60.01,20.64,0,Top
C53,30.48,18.41,180,Top
C54,53.34,13.97,0,Top
C55,52.07,10.16,180,Top
C56,36.83,9.84,90,Top
C57,38.42,6.67,270,Top
C58,60.33,4.76,90,Top
D1,72.07,105.09,180,Top
D2,55.56,99.38,180,Top
D3,29.53,92.39,90,Top
D4,43.18,87.31,270,Top
D5,43.18,82.55,90,Top
D6,28.58,78.11,270,Top
D7,29.53,68.26,90,Top
D8,41.27,65.09,0,Top
D9,43.18,58.42,90,Top
D10,28.58,44.45,90,Top
D11,41.27,41.27,0,Top
D12,43.18,34.61,90,Top
D13,28.89,10.79,180,Top
D14,33.66,10.79,180,Top
D15,41.27,63.18,180,Top
D16,41.27,39.37,180,Top
IC1,30.16,98.74,0,Top
IC2,33.97,98.74,0,Top
IC3,56.2,93.34,270,Top
IC4,34.93,85.09,270,Top
IC5,56.52,82.87,270,Top
IC6,56.52,67.31,270,Top
IC7,34.93,60.96,270,Top
IC8,56.52,56.52,270,Top
IC9,56.52,42.86,270,Top
IC10,34.93,37.15,270,Top
IC11,56.52,31.12,270,Top
IC12,32.38,21.91,270,Top
IC13,56.52,17.14,270,Top
IC14,31.75,7.3,270,Top
JP1,1.91,105.73,0,Top
JP2,76.52,105.73,0,Top
JP3,1.91,1.91,0,Top
JP4,76.52,1.91,0,Top
P1,66.67,105.09,180,Top
Q1,52.71,4.45,270,Top
R1,27.62,98.11,270,Top
R2,36.51,98.11,270,Top
R5,49.53,94.62,270,Top
R6,32.7,91.44,270,Top
R7,34.29,91.44,270,Top
R8,35.88,91.44,270,Top
R9,37.47,91.44,270,Top
R10,62.23,89.54,0,Top
R11,50.48,89.22,180,Top
R12,69.22,89.22,180,Top
R13,28.26,88.27,90,Top
R14,41.27,88.27,90,Top
R15,50.48,87.63,0,Top
R16,62.23,87.63,180,Top
R17,66.04,86.68,270,Top
R18,67.63,86.68,270,Top
R19,69.22,86.68,270,Top
