Designator,Mid X,Mid Y,Rotation,Layer
C1,54.93,73.34,0,Top
C2,53.02,71.12,0,Top
C3,25.08,70.48,90,Top
C4,17.46,69.21,270,Top
C5,8.57,67.95,180,Top
C6,30.32,65.88,90,Top
C7,8.89,64.77,180,Top
C8,32.38,64.61,180,Top
C9,26.67,64.45,90,Top
C10,40.96,62.87,180,Top
C11,14.29,62.23,90,Top
C12,11.75,61.6,90,Top
C13,13.02,61.6,90,Top
C14,27.94,60.96,270,Top
C15,41.91,59.37,180,Top
C16,10.16,56.83,90,Top
C17,54.29,54.61,270,Top
C18,40.64,54.29,270,Top
C19,50.32,54.13,0,Top
C20,45.56,53.18,270,Top
C21,65.25,52.07,0,Top
C22,52.71,51.12,0,Top
C23,61.91,50.8,270,Top
C24,15.24,50.8,180,Top
C25,65.25,50.01,0,Top
C26,15.24,49.53,180,Top
C27,16.83,42.86,180,Top
C28,11.27,42.39,0,Top
C29,34.61,41.75,0,Top
C30,37.15,41.75,180,Top
C31,39.69,41.75,180,Top
C32,57.79,41.75,0,Top
C33,14.29,41.75,180,Top
C34,60.33,41.75,180,Top
C35,62.87,41.75,180,Top
C36,20.8,39.53,90,Top
C37,43.66,39.53,90,Top
C38,66.99,39.53,90,Top
C39,55.56,38.74,90,Top
C40,32.39,38.73,90,Top
C41,42.23,32.7,0,Top
C42,2.38,31.91,90,Top
C43,47.78,31.12,90,Top
C44,11.27,29.85,90,Top
C45,19.21,29.85,90,Top
C46,34.45,29.85,90,Top
C47,42.39,29.85,90,Top
C48,56.36,29.85,90,Top
C49,64.29,29.85,90,Top
C50,10.79,27.94,180,Top
C51,19.69,27.94,180,Top
C52,33.81,27.94,180,Top
C53,43.02,27.94,180,Top
C54,55.88,27.94,180,Top
C55,64.77,27.94,180,Top
D1,64.61,73.03,180,Top
D2,64.77,55.25,0,Top
D3,61.7,15.88,180,Top
D4,15.98,15.72,180,Top
D5,38.84,15.72,180,Top
D6,14.02,10.64,0,Top
D7,59.58,10.64,0,Top
D8,36.72,10.64,0,Top
D9,12.22,2.38,270,Top
IC1,36.2,68.9,90,Top
IC2,50.16,63.5,270,Top
IC3,6.99,60.95,270,Top
IC4,37.62,57.15,90,Top
IC5,20.33,56.86,270,Top
IC6,5.4,53.33,270,Top
IC7,58.02,50.96,90,Top
IC8,14.29,39.37,270,Top
IC9,37.15,39.37,270,Top
IC10,60.33,39.37,270,Top
IC11,37.78,32.23,270,Top
IC12,15.24,27.94,270,Top
IC13,38.42,27.94,270,Top
IC14,60.33,27.94,270,Top
JP1,3.18,104.14,0,Top
JP2,66.67,104.14,0,Top
JP5,63.82,63.5,180,Top
JP7,3.18,2.54,0,Top
JP8,66.67,2.54,0,Top
L1,60.38,73.03,0,Top
L2,28.58,63.76,270,Top
L3,51.07,56.2,180,Top
L4,62.13,53.66,0,Top
L5,64.87,53.66,180,Top
Q1,21.27,69.85,180,Top
Q2,13.34,14.29,0,Top
Q3,59.05,14.29,0,Top
Q4,36.2,14.29,0,Top
Q5,16.51,12.22,180,Top
Q6,39.37,12.22,180,Top
Q7,62.23,12.22,180,Top
R1,38.73,73.98,180,Top
R2,28.26,72.23,0,Top
R3,43.82,71.75,180,Top
R4,13.18,69.85,270,Top
R5,42.07,67.47,0,Top
R6,32.07,66.68,90,Top
R7,42.07,66.36,0,Top
R8,20.8,65.72,90,Top
R9,21.75,65.72,90,Top
R10,4.45,65.09,90,Top
R11,5.4,65.09,90,Top
R12,29.69,57.63,270,Top
R13,39.69,42.86,0,Top
R14,57.79,42.86,180,Top
R15,34.61,42.86,180,Top
R16,62.87,42.86,0,Top
R17,65.09,42.86,180,Top
R18,9.05,42.39,0,Top
R19,16.83,41.75,0,Top
R20,11.59,41.27,180,Top
R21,56.2,40.8,180,Top
R22,33.02,40.8,180,Top
R23,10,40.48,270,Top
R24,18.73,39.05,270,Top
R25,33.5,39.05,270,Top
R26,41.59,39.05,270,Top
R27,42.55,39.05,270,Top
R28,56.67,39.05,270,Top
R29,64.93,39.05,270,Top
R30,65.88,39.05,270,Top
R31,19.68,39.05,270,Top
R32,10,38.42,270,Top
R33,33.81,32.7,0,Top
R34,19.84,31.59,180,Top
R35,10.64,31.59,0,Top
R36,33.81,31.59,0,Top
R37,55.72,31.59,0,Top
R38,42.86,31.59,180,Top
R39,64.77,31.59,180,Top
R40,46.83,31.12,90,Top
R41,10.16,29.85,270,Top
R42,20.32,29.85,270,Top
R43,33.34,29.85,270,Top
R44,43.5,29.85,270,Top
R45,55.25,29.85,270,Top
R46,65.41,29.85,270,Top
R47,8.89,29.21,270,Top
R48,46.83,28.89,90,Top
R49,32.07,28.89,270,Top
R50,21.43,28.58,270,Top
R51,53.98,28.58,270,Top
R52,66.68,28.58,270,Top
R53,43.97,25.72,270,Top
R54,14.13,24.77,0,Top
R55,16.35,24.77,180,Top
R56,37.31,24.77,0,Top
R57,39.53,24.77,180,Top
R58,59.21,24.77,0,Top
R59,61.44,24.77,180,Top
R60,9.05,18.1,90,Top
R61,31.91,18.1,90,Top
R62,54.77,18.1,90,Top
R63,37.15,16.83,180,Top
R64,14.29,16.83,180,Top
R65,60.01,16.83,180,Top
R66,63.34,15.4,270,Top
R67,17.62,15.24,270,Top
R68,40.48,15.24,270,Top
R69,61.75,14.92,0,Top
R70,16.03,14.76,0,Top
R71,38.89,14.76,0,Top
R72,36.67,11.75,180,Top
R73,59.53,11.75,180,Top
R74,13.97,11.75,180,Top
R75,12.38,11.27,90,Top
R76,35.08,11.27,90,Top
R77,57.94,11.27,90,Top
