Comment,Footprint,Designator
,M03X2BOTTOM,JP3
,TAC_SWITCHPTH,"SW1, SW2, SW3"
,WE-CBF_0603,L1
1.0k,R-US_R0603,"R6, R7, R16, R17, R46, R61, R62"
1.0n,C-USC0603,"C18, C19, C22, C23, C26, C27"
1.2k,R-US_R0603,"R4, R5"
100k,R-US_R0603,"R12, R13, R25, R28, R34, R35, R39, R42, R49, R51, R52, R53, R54, R56, R58, R59"
100n,C-USC0603,"C1, C3, C4, C8, C10, C13, C14, C17, C25, C29, C32, C33, C34, C35, C39, C41, C44, C45, C46, C47, C48, C49, C56"
10M,R-US_R0603,"R64, R65"
10k,R-US_R0603,"R1, R20, R21"
10kB,POT_USVERTICAL_PS,"R2, R3, R14, R15"
10n,C-USC0603,"C20, C21"
10u,CPOL-USB,"C2, C24, C28"
120k,R-US_R0603,"R9, R10, R24, R26"
14k,R-US_R0603,"R29, R30"
18p,C-USC0603,"C5, C12"
1N4148,DIODE-SOD323-W,"D4, D5"
1N5819HW,DIODE-SOD123,"D3, D6"
200k,R-US_R0603,"R37, R44"
20k,R-US_R0603,"R18, R19, R22, R23"
22u,CPOL-USB,C11
22u,CPOL-USC,C16
24.9k,R-US_R0603,"R60, R63"
3.3k,R-US_R0603,"R8, R57"
3.3u,C-USC0603,"C9, C15"
33p,C-USC0603,"C30, C31, C40, C43, C52, C53"
4.7,R-US_R1206,R11
4025UB103,POT_USVERTICAL,"R27, R36"
50kB,POT_USVERTICAL_PS,"R32, R33"
510,R-US_R0603,"R31, R38, R40, R41, R43, R45, R47, R48, R50, R55"
560p,C-USC0603,"C36, C37, C38, C42, C50, C51, C54, C55"
680n,C-USC0603,"C6, C7"
8MHz,CRYSTALHC49UP,Q1
BAT54S,DIODE_2CACA-SOT23,"D1, D2"
DAC8552,DAC8552,IC1
FIDUCIAL1X2,FIDUCIAL1X2,"JP1, JP2, JP4, JP5"
LM1117-3.3,REG1117,IC2
LM4040B10,LM4041B12DBZ,"IC11, IC12"
LM4040B25,LM4041B12DBZ,IC3
M05X2MINIJTAG,M05X2MINIJTAG,JP7
M05X2PTH,M05X2PTH,JP6
MCP6004,TL074D,IC4
PJ301WQP,PJ301WQP,"J1, J2, J3, J4, J5, J6, J7, J8"
PTCSMD,PTCSMD,P1
STM32F103CBT6,STM32F103CB,UC1
TEST-POINT3X5,TEST-POINT3X5,"TP1, TP2"
TL072D,TL072D,"IC5, IC6, IC7, IC10"
V2164SZ,SSM2164S,"IC8, IC9"
