Designator,Mid X,Mid Y,Rotation,Layer
C1,52.71,104.78,270,Top
C2,55.88,104.14,90,Top
C3,25.4,97.79,90,Top
C4,34.93,96.84,0,Top
C5,15.56,93.34,90,Top
C6,38.1,92.87,180,Top
C7,41.27,92.87,0,Top
C8,22.54,92.08,90,Top
C9,22.54,88.9,270,Top
C10,34.93,88.9,0,Top
C11,55.88,87.95,270,Top
C12,15.56,88.58,270,Top
C13,52.71,85.41,270,Top
C14,36.51,83.19,90,Top
C15,38.1,83.19,90,Top
C16,55.56,80.96,270,Top
C17,37.78,79.06,180,Top
C18,18.1,72.07,180,Top
C19,21.91,72.07,0,Top
C20,36.83,71.44,90,Top
C21,41.59,71.44,90,Top
C22,37.47,67.31,0,Top
C23,40.96,67.31,180,Top
C24,56.2,66,90,Top
C25,18.41,59.69,180,Top
C26,13.34,58.74,180,Top
C27,21.59,58.1,0,Top
C28,56.2,54.61,90,Top
C29,17.14,53.66,90,Top
C30,19.37,53.02,180,Top
C31,39.69,52.71,180,Top
C32,36.51,51.44,90,Top
C33,22.54,45.72,90,Top
C34,42.86,45.72,90,Top
C35,5.08,40.01,0,Top
C36,9.84,40.01,180,Top
C37,48.9,40.01,0,Top
C38,23.18,39.69,0,Top
C39,48.9,38.73,180,Top
C40,6.03,38.42,180,Top
C41,9.84,38.42,180,Top
C42,35.56,38.42,270,Top
C43,53.34,38.42,180,Top
C44,23.18,38.1,180,Top
C45,49.53,36.2,90,Top
C46,35.24,36.2,180,Top
C47,33.34,30.8,90,Top
C48,56.2,30,90,Top
C49,8.89,28.89,0,Top
C50,26.04,28.58,0,Top
C51,33.34,28.58,180,Top
C52,51.75,28.58,180,Top
C53,5.4,28.26,270,Top
C54,15.24,27.62,270,Top
C55,43.5,27.62,270,Top
C56,28.26,23.5,90,Top
D1,5.71,86.04,270,Top
D2,5.71,82.23,270,Top
D3,55.25,70.17,180,Top
D4,29.53,66.67,180,Top
D5,29.53,63.5,180,Top
D6,46.99,56.2,0,Top
IC1,40.64,84.77,0,Top
IC2,48.6,83.19,0,Top
IC3,37.78,76.52,180,Top
IC4,19.37,65.09,0,Top
IC5,19.37,47.94,0,Top
IC6,39.69,47.94,0,Top
IC7,6.03,33.66,0,Top
IC8,16.83,33.66,0,Top
IC9,41.91,33.66,0,Top
IC10,53.02,33.66,0,Top
IC11,27.94,31.12,0,Top
IC12,28.89,20,180,Top
JP1,2.54,105.09,0,Top
JP2,56.2,98.74,0,Top
JP3,29.53,81.92,270,Top
JP4,2.54,2.54,0,Top
JP5,56.2,2.54,0,Top
L1,55.78,100.65,0,Top
P1,51.75,56.2,0,Top
Q1,19.05,91.76,90,Top
R1,23.81,96.84,90,Top
R4,38.1,94.3,0,Top
R5,41.27,94.3,180,Top
R6,9.21,85.09,90,Top
R7,9.21,81.28,270,Top
R8,37.78,80.65,0,Top
R9,18.1,76.2,0,Top
R10,21.91,76.2,180,Top
R11,55.88,75.88,180,Top
R12,18.1,74.61,0,Top
R13,21.91,74.61,180,Top
R16,38.42,71.44,270,Top
R17,40.01,71.44,270,Top
R18,16.19,70.48,180,Top
R19,21.91,70.48,0,Top
R20,37.47,68.9,180,Top
R21,40.96,68.9,0,Top
R22,13.34,60.33,180,Top
R23,21.59,59.69,0,Top
R24,18.41,58.1,0,Top
R25,9.84,56.83,0,Top
R26,13.34,56.83,180,Top
R28,18.41,56.52,0,Top
R29,40.01,56.83,270,Top
R30,21.91,54.61,180,Top
R31,24.77,50.48,270,Top
R34,4.45,45.72,90,Top
R35,54.13,45.56,270,Top
R37,19.37,39.37,270,Top
R38,20.96,39.37,270,Top
R39,45.09,39.37,270,Top
R40,46.67,39.37,270,Top
R41,12.38,39.05,270,Top
R42,13.97,39.05,270,Top
R43,37.15,39.05,270,Top
R44,38.73,39.05,270,Top
R45,24.77,35.88,270,Top
R46,31.43,30.8,270,Top
R47,22.54,28.58,180,Top
R48,36.51,28.58,0,Top
R49,12.07,27.94,270,Top
R50,13.65,27.94,90,Top
R51,18.41,27.78,90,Top
R52,20,27.78,270,Top
R53,39.05,27.78,270,Top
R54,40.64,27.78,90,Top
R55,45.09,27.62,90,Top
R56,46.67,27.62,270,Top
R57,29.85,23.5,270,Top
R58,42.86,20,270,Top
R59,28.89,17.46,0,Top
R60,28.89,15.56,0,Top
R61,14.92,7.3,270,Top
R62,29.53,7.3,270,Top
R63,44.13,3.49,90,Top
R64,38.42,43.18,0,Top
R65,16.51,43.18,180,Top
TP1,2.86,89.85,0,Top
TP2,2.86,78.74,0,Top
UC1,29.85,93.03,270,Top
