Comment,Footprint,Designator
,EVQQ2,"SW1, SW2"
,M06SIP,JP3
100,R-US_R0603,"R2, R3, R4, R7, R9, R10, R22, R24"
100k,R-US_R0603,"R14, R16, R26, R29, R30, R31, R32, R36, R38, R39, R41, R42, R44, R54, R55, R56"
100n,C-USC0603,"C4, C5, C6, C7, C12, C14, C16, C18, C20, C24, C25, C30, C33"
10k,R-US_R0603,"R1, R11, R47, R48, R49, R57, R58"
10kB,POT_USVERTICAL_PS,"R5, R17, R18, R19"
10kB CD,POT_USVERTICAL_PS,R6
10n,C-USC0603,"C28, C29, C32"
120k,R-US_R0603,"R23, R35, R43"
18p,C-USC0603,"C2, C17"
1N5819HW,DIODE-SOD123,"D1, D2"
1n,C-USC0603,"C27, C31, C34"
2.49k,R-US_R0603,R8
2.49k,R-US_R0805,R60
20k,R-US_R0603,R34
220k,R-US_R0603,"R21, R25"
220p,C-USC0603,"C19, C21, C22, C23"
22u,CPOL-USC,"C1, C8, C9"
270,R-US_R0603,R27
27k,R-US_R0603,R37
3.3M,R-US_R0603,R46
3.3k,R-US_R0603,"R12, R50, R52"
3.3u,C-USC0603,"C11, C15"
30k,R-US_R0603,R20
33k,R-US_R0603,"R13, R15, R28, R33, R40"
39k,R-US_R0603,R45
4.7k,R-US_R0603,"R51, R53"
470n,C-USC0603,"C13, C26"
47u,CPOL-USD,"C3, C10"
50k,R-TRIMM3296X,R59
8MHz,CRYSTALHC49UP,Q1
D6R,D6R,"SW3, SW4"
DAC8552,DAC8552,IC4
FIDUCIAL1X2,FIDUCIAL1X2,"JP4, JP5, JP6, JP7"
LM1117-3.3,REG1117,"IC1, IC3"
LM4040B10,LM4041B12DBZ,IC7
LM4040B25,LM4041B12DBZ,IC2
M05X2MINIJTAG,M05X2MINIJTAG,JP2
M05X2PTH,M05X2PTH,JP1
MCP6002,TL072D,IC8
MCP6004,TL074D,IC9
MMBT3904,MMBT3904LT1-NPN-SOT23-BEC,"Q2, Q3, Q4, Q5, Q6"
PJ301_THONKICONN6,PJ301_THONKICONN6,"J1, J2, J3, J4, J5, J6, J7, J8, J9, J10, J11, J12, J13"
STM32F103CBT6,STM32F103CB,UC1
TL072,TL072D,"IC5, IC6"
WP115VEGW,LED-BICOLOR-THROUGHHOLE,"LED1, LED2, LED3"
