Designator,Mid X,Mid Y,Rotation,Layer
C1,48.58,78.74,180,Top
C2,25.08,77.79,180,Top
C3,58.42,76.2,0,Top
C4,39.69,75.56,0,Top
C5,16.51,74.93,90,Top
C6,49.05,74.93,0,Top
C7,29.85,74.3,180,Top
C8,3.49,69.53,90,Top
C9,16.51,69.53,90,Top
C10,58.42,68.58,180,Top
C11,26.67,67.95,270,Top
C12,27.94,67.95,270,Top
C13,49.53,67.31,270,Top
C14,39.69,66.04,0,Top
C15,43.5,64.77,270,Top
C16,44.77,64.77,270,Top
C17,25.08,64.45,180,Top
C18,18.1,60.01,90,Top
C19,19.69,60.01,270,Top
C20,43.5,60.01,90,Top
C21,45.09,60.01,270,Top
C22,24.77,58.42,270,Top
C23,49.85,58.42,270,Top
C24,21.91,48.26,90,Top
C25,48.26,48.26,90,Top
C26,37.78,47.31,90,Top
C27,17.78,41.91,90,Top
C28,50.96,39.21,270,Top
C29,40.32,39.21,270,Top
C30,16.83,37.47,90,Top
C31,17.78,29.85,270,Top
C32,39.37,29.85,270,Top
C33,45.72,29.85,270,Top
C34,52.07,29.85,270,Top
D1,66.04,83.82,270,Top
D2,66.04,60.96,270,Top
IC1,48.6,86.04,0,Top
IC2,50.48,70.8,0,Top
IC3,9.82,69.53,180,Top
IC4,46.67,69.53,0,Top
IC5,20.32,53.98,0,Top
IC6,45.72,53.98,0,Top
IC7,33.66,47.31,0,Top
IC8,20.32,35.88,0,Top
IC9,45.72,35.88,0,Top
JP4,2.54,104.14,0,Top
JP5,66.04,104.14,0,Top
JP6,2.54,2.54,0,Top
JP7,66.04,2.54,0,Top
Q1,22.23,71.12,90,Top
Q2,6.35,13.65,0,Top
Q3,13.97,13.65,0,Top
Q4,17.46,13.65,0,Top
Q5,26.67,13.65,0,Top
Q6,38.73,13.65,0,Top
R1,21.91,101.92,0,Top
R2,22.54,96.2,180,Top
R3,22.54,94.3,180,Top
R4,22.54,89.22,180,Top
R7,22.54,87.31,180,Top
R8,39.69,84.77,270,Top
R9,22.54,82.23,180,Top
R10,22.54,80.33,180,Top
R11,27.94,72.71,0,Top
R12,51.44,67.31,90,Top
R13,22.23,60.96,0,Top
R14,47.63,60.96,0,Top
R15,22.23,59.37,180,Top
R16,47.63,59.37,180,Top
R20,15.88,53.98,90,Top
R21,15.88,50.8,270,Top
R22,18.73,48.26,90,Top
R23,20.32,48.26,90,Top
R24,43.5,48.26,90,Top
R25,45.09,48.26,90,Top
R26,46.67,48.26,90,Top
R27,36.2,47.31,270,Top
R28,40.32,42.55,270,Top
R29,41.91,42.55,90,Top
R30,43.5,42.55,90,Top
R31,47.78,42.55,90,Top
R32,49.37,42.55,90,Top
R33,50.96,42.55,270,Top
R34,19.37,41.91,270,Top
R35,20.96,41.91,90,Top
R36,22.54,41.91,90,Top
R37,19.37,29.85,90,Top
R38,20.96,29.85,270,Top
R39,22.54,29.85,270,Top
R40,40.96,29.85,90,Top
R41,42.55,29.85,270,Top
R42,44.13,29.85,270,Top
R43,47.31,29.85,270,Top
R44,48.9,29.85,270,Top
R45,50.48,29.85,90,Top
R46,53.98,29.85,90,Top
R47,8.57,28.89,90,Top
R48,10.16,28.89,90,Top
R49,11.75,28.89,90,Top
R50,29.21,13.97,90,Top
R51,30.8,13.97,270,Top
R52,41.27,13.97,90,Top
R53,42.86,13.97,270,Top
R54,10.16,13.65,0,Top
R55,3.81,13.34,270,Top
R56,20,13.34,270,Top
R57,24.13,13.34,270,Top
R58,36.2,13.34,270,Top
R60,65.09,21.59,90,Top
SW1,28.89,103.19,0,Top
SW2,39.69,103.19,180,Top
UC1,34.61,70.17,270,Top
