Comment,Footprint,Designator
,M02PTH,JP7
,M04PTH,JP6
,TAC_SWITCHPTH,"SW1, SW2, SW3"
,WE-CBF_0603,"L2, L3, L4"
1.0k,R-US_R0402,"R64, R65, R66, R67"
1.0k,R-US_R0603,"R45, R47, R48, R49"
1.0n,C-USC0402,"C28, C32, C41, C46, C47, C56"
1.5k,R-US_R0402,"R2, R6, R10, R46"
100,R-US_R0402,"R4, R5, R8, R9"
100k,R-US_R0402,"R15, R16, R17, R29, R30, R35, R36, R54, R55"
100n,C-USC0402,"C2, C3, C5, C6, C7, C8, C14, C15, C17, C22, C23, C30, C33, C34, C35, C43, C44, C45, C48, C49, C51, C52, C53, C54, C55"
100p,C-USC0402,"C27, C31, C36"
10k,R-US_R0402,"R3, R61, R62, R63"
10kB,POT_USVERTICAL,"R56, R57, R58, R59, R60"
10kB,POT_USVERTICAL_PS,"R11, R12, R22, R23, R24"
10u,CPOL-USA,"C9, C10, C29, C50"
120k,R-US_R0402,"R20, R21, R25, R43, R51"
130k,R-US_R0402,"R14, R28, R37, R38, R39, R40, R42"
140k,R-US_R0402,R50
1N5819HW,DIODE-SOD123,"D1, D3"
1u,C-USC0402,"C1, C12, C13, C16, C18, C21, C42"
2.4k,R-US_R0402,"R1, R7, R13"
20k,R-US_R0402,"R18, R19, R27, R31, R32, R33, R34, R41, R52"
20p,C-USC0402,"C4, C11"
22u,C-USC1206,"C19, C20, C25"
22u,CPOL-USB,"C24, C26"
33k,R-US_R0402,R53
33u,L-USL2012C,L1
390k,R-US_R0402,"R26, R44"
3BC-F,LED-BICOLOR-SHARED-THROUGHHOLE,"LED4, LED5, LED6, LED7"
4051PW,4051PW,IC2
47p,C-USC0402,"C37, C38, C39, C40"
8MHz,CRYSTAL,Q1
BAT54S,DIODE_2CACA-SOT23,D2
DAC8164ICPW,DAC8564,IC4
FIDUCIAL1X2,FIDUCIAL1X2,"JP1, JP2, JP3, JP4"
LD2981ABU33,LD2981ABU,IC5
LM4040B10,LM4041B12DBZ,IC10
M05X2SHD,M05X2SHD,JP5
MCP6004,TL074PW,"IC6, IC7"
PJ301_THONKICONN6,PJ301_THONKICONN6,"J1, J2, J3, J4, J5, J6, J7, J8, J9, J10, J11, J12"
R-78E3.3-0.5,WE173950378,IC3
STM32F373CCT6,STM32F373C,IC1
TLV4172,TL074PW,"IC8, IC9"
TVS,TVS,"D4, D5, D6, D7, D8, D9, D10, D11"
W115WSURKMGKW,LED-BICOLOR-THROUGHHOLE2.54,"LED1, LED2, LED3"
