Designator,Mid X,Mid Y,Rotation,Layer
C1,30.16,101.28,0,Top
C2,38.1,100.97,180,Top
C3,30.16,100.17,0,Top
C4,22.22,99.38,180,Top
C5,17.3,96.04,0,Top
C6,43.5,94.46,180,Top
C7,54.93,93.03,270,Top
C8,26.99,92.87,90,Top
C9,49.85,92.39,270,Top
C10,57.47,92.39,90,Top
C11,23.49,91.6,0,Top
C12,26.04,91.28,180,Top
C13,37.7,90.17,0,Top
C14,37.7,89.22,0,Top
C15,32.07,87.31,270,Top
C16,30.48,86.99,270,Top
C17,44.77,85.41,0,Top
C18,44.61,83.82,0,Top
C19,62.55,82.87,180,Top
C20,62.55,80.33,180,Top
C21,44.61,79.53,0,Top
C22,14.92,74.93,180,Top
C23,51.43,74.93,180,Top
C24,56.2,71.76,90,Top
C25,49.53,70.17,0,Top
C26,56.2,65.72,90,Top
C27,19.84,63.66,0,Top
C28,25.88,63.66,180,Top
C29,49.53,61.28,0,Top
C30,17.94,60.33,180,Top
C31,19.84,57.15,0,Top
C32,25.88,57.15,180,Top
C33,50.16,53.34,270,Top
C34,41.59,53.18,270,Top
C35,33.97,52.71,180,Top
C36,19.84,51.75,0,Top
C37,39.85,51.75,180,Top
C38,43.34,51.75,0,Top
C39,48.42,51.75,180,Top
C40,51.91,51.75,0,Top
C41,25.88,51.75,180,Top
C42,32.86,49.21,0,Top
C43,17.94,48.58,180,Top
C44,10.16,47.63,180,Top
C45,57.79,47.63,180,Top
C46,19.84,45.4,0,Top
C47,25.88,45.4,180,Top
C48,50.16,43.18,0,Top
C49,41.59,42.55,270,Top
C50,41.12,30.48,90,Top
C51,9.21,27.94,0,Top
C52,20.96,27.94,180,Top
C53,33.97,27.94,180,Top
C54,46.99,27.94,180,Top
C55,60.01,27.94,180,Top
C56,10.48,96.04,180,Top
D1,59.69,73.98,270,Top
D2,35.08,71.12,0,Top
D3,59.69,68.26,270,Top
D4,46.04,22.23,270,Top
D5,57.31,22.07,270,Top
D6,46.04,18.41,270,Top
D7,34.61,17.3,270,Top
D8,6.83,13.97,180,Top
D9,16.35,13.81,0,Top
D10,11.75,2.38,270,Top
D11,23.34,2.38,270,Top
IC1,33.34,94.3,270,Top
IC2,13.81,92.86,270,Top
IC4,44.45,90.01,90,Top
IC5,49.53,66.43,180,Top
IC6,22.86,60.33,270,Top
IC7,22.86,48.58,270,Top
IC8,50.16,47.31,0,Top
IC9,41.59,47.31,0,Top
IC10,33.18,45.56,180,Top
JP1,1.91,104.78,0,Top
JP2,67.31,104.77,0,Top
JP3,1.91,1.91,0,Top
JP4,67.31,1.91,0,Top
L1,66.04,81.65,90,Top
L2,58.1,75.15,90,Top
L3,49.11,72.07,0,Top
L4,59.69,64.03,90,Top
Q1,22.81,95.57,90,Top
R1,15.24,103.19,90,Top
R2,53.98,101.6,90,Top
R3,40.32,100.97,180,Top
R4,32.38,100.97,180,Top
R5,34.92,100.97,180,Top
R6,15.24,100.97,270,Top
R7,53.98,99.38,270,Top
R8,26.99,95.41,180,Top
R9,26.99,94.46,180,Top
R10,36.99,85.73,0,Top
R13,30.16,83.66,0,Top
R14,43.97,82.23,90,Top
R15,44.61,80.65,180,Top
R16,18.73,65.88,180,Top
R17,26.99,65.88,0,Top
R18,19.84,64.77,180,Top
R19,25.88,64.77,0,Top
R20,18.26,64.14,90,Top
R21,27.46,64.14,270,Top
R25,27.46,56.67,90,Top
R26,18.26,56.67,90,Top
R27,25.88,56.04,0,Top
R28,19.84,56.04,180,Top
R29,18.73,55.09,180,Top
R30,27.15,55.09,0,Top
R31,39.85,53.98,180,Top
R32,43.34,53.98,0,Top
R33,48.42,53.98,180,Top
R34,51.91,53.98,0,Top
R35,18.73,53.97,180,Top
R36,26.83,53.97,0,Top
R37,19.84,52.86,180,Top
R38,43.34,52.86,180,Top
R39,48.42,52.86,0,Top
R40,51.91,52.86,180,Top
R41,25.88,52.86,0,Top
R42,39.85,52.86,0,Top
R43,27.46,52.23,270,Top
R44,18.26,52.23,270,Top
R45,45.09,49.69,270,Top
R46,32.86,47.94,180,Top
R47,38.1,45.4,270,Top
R48,46.67,45.4,270,Top
R49,53.66,45.4,270,Top
R50,27.46,44.93,270,Top
R51,18.26,44.93,270,Top
R52,19.84,44.29,180,Top
R53,25.88,44.29,0,Top
R54,25.72,43.18,180,Top
R55,20,43.18,0,Top
R61,23.18,24.13,0,Top
R62,20.96,12.7,0,Top
R63,20.96,11.59,0,Top
R64,23.5,9.84,270,Top
R65,34.93,9.84,270,Top
R66,46.36,9.84,270,Top
R67,57.79,9.84,270,Top
