Designator,Mid X,Mid Y,Rotation,Layer
C1,18.34,90.81,180,Top
C2,6.99,82.07,0,Top
C3,31.59,82.07,0,Top
C4,43.97,82.07,0,Top
C5,19.21,82.07,0,Top
C6,40.32,71.76,270,Top
C7,42.54,71.76,270,Top
C8,13.97,71.44,180,Top
C9,32.7,71.36,180,Top
C10,5.08,68.9,180,Top
C11,23.81,68.9,180,Top
C12,15.4,68.58,180,Top
C13,34.45,68.58,180,Top
C14,14.76,66.99,270,Top
C15,33.65,66.99,270,Top
C16,6.67,66.68,270,Top
C17,25.4,66.68,270,Top
C18,16.99,65.09,0,Top
C19,35.72,65.09,0,Top
C20,3.97,62.39,270,Top
C21,22.7,62.39,270,Top
C22,16.67,61.28,180,Top
C23,35.4,61.28,180,Top
C24,16.67,60.01,180,Top
C25,35.4,60.01,180,Top
C26,15.72,56.2,180,Top
C27,24.29,56.2,0,Top
C28,5.56,56.2,0,Top
C29,34.45,56.2,180,Top
C30,6.67,53.98,90,Top
C31,33.34,53.98,90,Top
C32,14.61,53.98,90,Top
C33,25.4,53.98,90,Top
C34,24.29,52.07,270,Top
C35,41.27,52.07,270,Top
C36,43.5,52.07,270,Top
C37,5.56,52.07,270,Top
C38,15.08,51.75,90,Top
C39,34.45,51.75,90,Top
C40,26.35,49.37,0,Top
C41,7.62,49.37,0,Top
C42,23.34,39.37,180,Top
C43,8.89,27.94,90,Top
C44,15.56,27.94,270,Top
C45,33.5,27.94,90,Top
C46,40.16,27.94,270,Top
C47,16.03,25.24,90,Top
C48,33.18,25.24,270,Top
C49,40.64,25.24,90,Top
C50,8.57,25.24,270,Top
D1,38.1,71.12,270,Top
D2,46.99,51.75,90,Top
D3,9.58,32.23,0,Top
D4,14.87,32.23,180,Top
D5,34.18,32.23,0,Top
D6,39.48,32.23,180,Top
IC1,18.34,88.27,0,Top
IC2,10.64,68.58,270,Top
IC3,29.37,68.58,270,Top
IC4,10.64,60.64,270,Top
IC5,29.37,60.64,270,Top
IC6,10.64,52.39,270,Top
IC7,29.37,52.39,270,Top
IC8,23.18,36.35,180,Top
IC9,12.22,27.3,0,Top
IC10,36.83,27.3,0,Top
JP1,43.18,61.6,180,Top
L1,44.45,72.61,90,Top
L2,45.4,50.58,270,Top
P1,46.35,72.07,270,Top
R1,6.03,96.52,0,Top
R2,18.26,96.52,0,Top
R3,30.64,96.52,0,Top
R4,43.02,96.52,0,Top
R5,19.05,85.49,180,Top
R6,16.83,85.25,90,Top
R7,42.23,84.93,90,Top
R8,29.84,84.93,90,Top
R9,5.24,84.93,90,Top
R10,19.05,84.46,180,Top
R11,6.99,84.3,180,Top
R12,31.59,84.3,180,Top
R13,43.97,84.3,180,Top
R14,30.48,83.19,0,Top
R15,42.86,83.19,0,Top
R16,18.1,83.19,0,Top
R17,5.87,83.18,0,Top
R18,4.76,82.07,180,Top
R19,16.99,82.07,180,Top
R20,29.37,82.07,180,Top
R21,41.75,82.07,180,Top
R22,6.67,70.49,270,Top
R23,25.4,70.49,270,Top
R24,5.08,70.01,180,Top
R25,23.81,70.01,180,Top
R26,16.99,68.26,90,Top
R27,36.04,67.31,90,Top
R28,15.88,66.99,90,Top
R29,34.77,66.99,90,Top
R30,17.62,66.68,0,Top
R31,5.56,66.68,90,Top
R32,24.29,66.67,90,Top
R33,24.29,65.09,0,Top
R34,5.56,65.09,0,Top
R35,5.56,63.98,180,Top
R36,24.29,63.98,180,Top
R37,15.72,63.82,0,Top
R38,34.45,63.82,0,Top
R39,5.56,62.87,0,Top
R40,24.29,62.87,0,Top
R41,15.72,62.55,180,Top
R42,34.45,62.55,180,Top
R43,16.67,58.74,180,Top
R44,35.4,58.74,180,Top
R45,24.29,58.42,180,Top
R46,5.56,58.42,180,Top
R47,15.72,57.47,0,Top
R48,34.45,57.47,0,Top
R49,24.29,57.31,0,Top
R50,5.56,57.31,0,Top
R51,15.72,53.98,270,Top
R52,34.45,53.98,270,Top
R53,6.03,50.48,180,Top
R54,24.77,50.48,180,Top
R55,35.08,50.16,0,Top
R56,33.5,49.53,90,Top
R57,5.4,49.37,180,Top
R58,24.13,49.37,180,Top
R59,7.62,48.26,180,Top
R60,26.35,48.26,180,Top
R61,45.88,39.37,90,Top
R62,21.35,39.37,90,Top
R63,34.13,39.37,90,Top
R64,9.29,39.37,90,Top
R65,13.81,34.77,270,Top
R66,10.48,34.77,270,Top
R67,35.08,34.77,270,Top
R68,38.42,34.77,270,Top
R69,24.13,34.29,90,Top
R70,14.29,33.18,0,Top
R71,10,33.18,180,Top
R72,34.61,33.18,180,Top
R73,38.89,33.18,0,Top
R74,11.59,32.86,270,Top
R75,12.7,32.86,270,Top
R76,36.19,32.86,270,Top
R77,37.31,32.86,270,Top
R78,14.92,31.27,0,Top
R79,34.13,31.27,180,Top
R80,9.53,31.27,180,Top
R81,39.53,31.27,0,Top
R82,35.24,22.7,90,Top
R83,36.35,22.7,90,Top
R84,37.47,22.7,90,Top
R85,38.58,22.7,90,Top
R86,10.64,22.7,90,Top
R87,11.75,22.7,90,Top
R88,12.86,22.7,90,Top
R89,13.97,22.7,90,Top
R90,46.36,16.51,90,Top
R91,10.16,8.89,270,Top
R92,22.23,8.89,270,Top
R93,34.29,8.89,270,Top
R94,22.23,2.7,90,Top
R95,46.36,2.7,90,Top
R96,2.54,2.7,90,Top
R97,26.67,2.7,90,Top
