Designator,"Mid X","Mid Y",Layer,Rotation
C1,33.34,102.55,Top,270
C2,16.83,97.16,Top,180
C3,19.37,93.66,Top,180
C4,16.51,92.39,Top,180
C5,13.97,90.17,Top,90
C6,22.23,87.31,Top,270
C7,23.18,82.87,Top,0
C8,55.88,81.28,Top,270
C9,9.84,80.96,Top,270
C10,23.81,79.69,Top,90
C11,46.67,79.69,Top,0
C12,8.26,78.42,Top,90
C13,23.81,77.15,Top,270
C14,9.84,75.88,Top,90
C15,20.64,72.71,Top,0
C16,46.36,67.63,Top,0
C17,20.64,63.82,Top,0
C18,13.97,58.74,Top,270
C19,16.83,56.83,Top,180
C20,19.37,56.83,Top,180
C21,14.29,50.16,Top,0
C22,20.32,50.16,Top,0
C23,19.37,40.32,Top,180
C24,16.83,39.05,Top,180
C25,13.97,36.83,Top,90
C26,22.23,33.97,Top,270
C27,23.18,29.53,Top,0
C28,55.88,27.94,Top,270
C29,9.84,27.62,Top,270
C30,23.81,26.35,Top,90
C31,46.67,26.35,Top,0
C32,8.57,25.08,Top,270
C33,23.81,23.81,Top,270
C34,9.84,22.54,Top,90
C35,20.64,19.37,Top,0
C36,38.42,13.02,Top,90
C37,20.32,10.16,Top,0
C38,13.97,5.4,Top,270
C39,19.37,3.49,Top,180
C40,15.56,3.18,Top,180
C41,14.61,85.57,Top,0
C42,14.92,63.82,Top,0
C43,14.61,32.23,Top,0
C44,14.76,10.16,Top,0
D1,28.26,102.55,Top,0
D2,5.08,102.55,Top,90
IC1,18.1,88.9,Top,270
IC2,51.44,80.96,Top,270
IC3,18.1,78.42,Top,270
IC4,18.1,60.33,Top,270
IC5,18.1,35.56,Top,270
IC6,51.44,27.62,Top,270
IC7,18.1,25.08,Top,270
IC8,6.03,24.77,Top,90
IC9,35.88,13.34,Top,90
IC10,18.1,6.67,Top,270
JP1,1.91,104.78,Top,0
JP2,57.15,104.3,Top,0
JP3,1.91,1.91,Top,0
JP4,57.15,1.91,Top,0
L1,26.77,104.46,Top,180
L2,3.49,101.82,Top,90
P1,23.18,104.14,Top,180
R2,54.29,93.66,Top,270
R4,20.32,92.39,Top,180
R5,22.23,91.12,Top,90
R6,54.61,90.49,Top,0
R7,13.97,87.31,Top,90
R8,24.77,86.68,Top,180
R9,19.05,85.41,Top,180
R10,21.59,85.41,Top,180
R11,8.26,83.82,Top,180
R12,46.67,82.23,Top,0
R13,11.75,81.6,Top,0
R14,23.18,81.6,Top,0
R15,46.67,80.96,Top,0
R16,43.5,80.65,Top,0
R17,11.75,80.33,Top,180
R18,22.54,79.69,Top,90
R19,11.75,79.06,Top,180
R20,11.75,77.79,Top,180
R21,22.54,77.15,Top,270
R22,46.36,76.84,Top,270
R23,11.75,76.52,Top,180
R24,11.75,75.25,Top,0
R25,23.18,75.25,Top,0
R26,46.36,74.61,Top,270
R27,46.36,72.39,Top,90
R30,20.32,66.36,Top,0
R31,20.64,65.09,Top,180
R32,18.1,63.82,Top,180
R33,13.97,61.91,Top,270
R34,22.23,60.64,Top,90
R35,24.77,60.01,Top,180
R36,22.23,58.42,Top,90
R37,9.53,57.15,Top,0
R38,54.61,54.93,Top,0
R39,43.5,53.98,Top,0
R41,54.29,40.32,Top,270
R43,20.32,39.05,Top,180
R44,22.23,37.78,Top,90
R45,54.61,37.15,Top,0
R46,13.97,33.97,Top,90
R47,24.77,33.66,Top,180
R48,27.62,33.02,Top,0
R49,19.05,32.07,Top,180
R50,21.59,32.07,Top,180
R51,8.26,30.48,Top,180
R52,46.67,28.89,Top,0
R53,11.75,28.26,Top,0
R54,23.18,28.26,Top,0
R55,46.67,27.62,Top,0
R56,43.5,27.3,Top,0
R57,11.75,26.99,Top,180
R58,22.54,26.35,Top,90
R59,11.75,25.72,Top,180
R60,11.75,24.45,Top,180
R61,22.54,23.81,Top,270
R62,46.36,23.5,Top,270
R63,11.75,23.18,Top,180
R64,6.03,21.91,Top,90
R65,11.75,21.91,Top,0
R66,23.18,21.91,Top,0
R67,46.36,21.27,Top,270
R68,46.36,19.05,Top,90
R71,19.69,12.7,Top,0
R72,40.64,11.75,Top,0
R73,20.32,11.43,Top,180
R74,35.24,10.48,Top,90
R75,17.78,10.16,Top,180
R76,13.97,8.26,Top,270
R77,24.77,6.67,Top,180
R78,56.52,5.71,Top,270
R79,9.53,3.81,Top,0
