Comment,Footprint,Designator
,EVQQ2,"SW1, SW2"
,M06SIP,JP2
,TAC_SWITCHPTH,SW3
,WE-CBF_0603,"L1, L2, L3"
1.0k,R-US_R0603,"R42, R43"
100,R-US_R0603,"R3, R4, R5"
100k,R-US_R0603,"R8, R9, R17, R18"
100n,C-USC0603,"C5, C6, C9, C13, C16, C17, C18, C20, C21, C24, C25, C28, C30, C31, C33, C34, C40, C42"
10k,R-US_R0603,"R2, R14"
10kB,POT_USVERTICAL,"R26, R27"
10kB,POT_USVERTICAL_PS,"R7, R23"
10u,CPOL-USA,"C23, C29, C32, C36, C37, C39, C43"
12.288MHz,CRYSTALHC49UP,Q2
120k,R-US_R0603,"R10, R11"
180,R-US_R0603,"R21, R22"
18p,C-USC0603,"C10, C11, C26, C35, C38, C41"
1N5819HW,DIODE-SOD123,"D1, D2"
1u,C-USC0603,"C15, C27"
2.2k,R-US_R0603,"R24, R25"
2.2u,C-USC0805,"C19, C22"
200k,R-US_R0603,"R19, R20, R32, R35"
220p,C-USC0603,"C44, C45"
33k,R-US_R0603,"R15, R16"
36k,R-US_R0603,"R12, R13, R37, R38"
4.7,R-US_R1206,R1
4.7k,R-US_R0603,R6
4.7n,C-USC0603,"C7, C8, C12, C14"
47k,R-US_R0603,"R28, R30, R31, R33"
47u,CPOL-USD,"C1, C2, C3, C4"
6.8k,R-US_R0603,"R29, R34, R36, R39"
8MHz,CRYSTALHC49UP,Q1
BAT54S,DIODE_2CACA-SOT23,D3
DNP,R-US_R0603,"R40, R41"
FIDUCIAL1X2,FIDUCIAL1X2,"F1, F2, F3, F4"
LM1117-3.3,REG1117T,IC1
LM4040B10,LM4041B12DBZ,IC2
M05X2MINIJTAG,M05X2MINIJTAG,JP1
M05X2PTH,M05X2PTH,JP3
MCP6004,TL074D,IC3
PJ301_THONKICONN6,PJ301_THONKICONN6,"J1, J2, J3, J4, J5, J6, J7, J8"
STM32F405RGT6,STM32F20X,IC4
TEST-POINT3X5,TEST-POINT3X5,"TP1, TP2, TP3, TP4"
TL072,TL072D,IC6
WM8731,WM8731,IC5
WP115VEGW,LED-BICOLOR-THROUGHHOLE,LED2
WP154A4SUREQBFZG,LED-TRICOLOR-THROUGHHOLE,LED1
