Designator,Mid X,Mid Y,Rotation,Layer
C1,7.94,101.6,180,Top
C2,35.24,101.6,180,Top
C3,7.94,94.3,180,Top
C4,35.24,94.3,180,Top
C5,30.48,93.34,270,Top
C6,8.89,87,90,Top
C7,6.03,78.74,180,Top
C8,12.38,78.74,0,Top
C9,20,77.79,270,Top
C10,20.64,74.3,0,Top
C11,32.07,74.3,180,Top
C12,6.03,67.95,180,Top
C13,9.21,67.95,0,Top
C14,12.38,67.95,0,Top
C15,19.69,67.63,90,Top
C16,22.86,66.04,0,Top
C17,31.12,63.18,0,Top
C18,15.05,61.28,180,Top
C19,15.56,54.61,180,Top
C20,17.14,53.02,180,Top
C21,29.78,50.8,0,Top
C22,28.26,49.21,0,Top
C23,45.4,47.94,180,Top
C24,44.61,45.56,0,Top
C25,42.23,45.09,270,Top
C26,46.83,43.66,270,Top
C27,28.89,42.23,270,Top
C28,30.16,42.23,270,Top
C29,27.62,36.51,0,Top
C30,30.64,36.51,270,Top
C31,15.56,35.88,270,Top
C32,27.62,32.7,0,Top
C33,5.4,32.38,270,Top
C34,23.18,32.38,0,Top
C35,12.7,31.43,90,Top
C36,39.21,31.12,0,Top
C37,33.5,31.11,0,Top
C38,22.23,30.16,90,Top
C39,27.62,29.05,0,Top
C40,11.75,28.58,0,Top
C41,46.83,28.58,90,Top
C42,39.37,28.26,180,Top
C43,34.93,27.62,0,Top
C44,20.32,12.7,270,Top
C45,28.58,12.7,270,Top
D1,14.61,99.38,0,Top
D2,14.61,96.84,180,Top
D3,14.92,49.21,180,Top
F1,1.59,105.09,0,Top
F2,47.31,105.09,0,Top
F3,1.59,1.59,0,Top
F4,47.31,1.59,0,Top
IC1,43.18,101.16,180,Top
IC2,11.75,87,270,Top
IC3,9.21,73.34,0,Top
IC4,24.14,58.13,270,Top
IC5,36.51,38.11,270,Top
IC6,17.46,30.48,270,Top
L1,14.71,101.28,180,Top
L2,20.1,95.25,180,Top
L3,14.51,94.93,0,Top
Q1,26.35,70.8,0,Top
Q2,44.77,36.19,270,Top
R1,14.61,104.14,180,Top
R2,40.64,92.08,180,Top
R3,22.54,91.44,90,Top
R4,24.45,91.44,90,Top
R5,26.35,91.44,90,Top
R6,7.3,87,270,Top
R8,6.03,81.92,180,Top
R9,12.38,81.92,0,Top
R10,8.26,80.96,270,Top
R11,10.16,80.96,270,Top
R12,6.03,80.33,0,Top
R13,12.38,80.33,180,Top
R14,40.64,77.47,0,Top
R15,6.03,66.36,0,Top
R16,12.38,66.36,180,Top
R17,6.03,64.77,180,Top
R18,12.38,64.77,0,Top
R19,8.26,64.45,90,Top
R20,10.16,64.45,90,Top
R21,14.92,58.74,180,Top
R22,14.92,57.15,180,Top
R24,33.02,44.77,90,Top
R25,27.3,44.13,270,Top
R28,7.94,31.43,90,Top
R29,9.53,31.43,90,Top
R30,11.11,31.43,270,Top
R31,23.81,30.16,270,Top
R32,4.45,27.3,270,Top
R33,22.23,26.99,270,Top
R34,23.81,26.99,270,Top
R35,9.21,26.67,0,Top
R36,21.91,12.7,90,Top
R37,23.5,12.7,270,Top
R38,25.08,12.7,270,Top
R39,26.99,12.7,90,Top
R40,9.53,12.07,0,Top
R41,15.56,12.07,180,Top
R42,33.66,12.07,0,Top
R43,39.37,12.07,180,Top
SW1,42.23,87.95,180,Top
SW2,42.23,81.6,0,Top
TP1,33.66,64.45,0,Top
TP2,35.56,59.05,0,Top
TP3,39.37,59.05,0,Top
TP4,32.38,56.2,0,Top
