Comment,Footprint,Designator
,LED3MM,"LED1, LED2, LED3, LED4"
,M05X2MINIJTAG,JP4
1.0k,R-US_R0603,"R1, R9, R24, R25, R30, R31, R32, R34, R38, R43"
100,R-US_R0603,"R2, R3, R4, R5, R6, R7, R8, R10, R11, R12, R13, R14, R15, R16, R33, R36, R41, R42"
100n,C-USC0603,"C2, C5, C6, C8, C9, C11, C13, C18, C19, C20, C23, C24, C27"
10k,R-US_R0603,"R17, R37"
10u,CPOL-USA,"C3, C12"
18p,C-USC0603,"C7, C10, C14, C16, C21, C22"
1N4148,DIODE-SOD323-W,D3
1N5819HW,DIODE-SOD123,"D1, D2"
1u,C-USC0603,"C25, C26"
220,R-US_R0603,R35
220n,C-USC0603,C17
22u,CPOL-USC,"C1, C4"
240k,R-US_R0603,"R26, R27, R28, R29"
3.3u,C-USC0603,C15
47k,R-US_R0603,"R18, R19, R20, R21, R22, R23"
51,R-US_R0603,"R39, R40"
6N137SMT,6N137SMT,OK1
74AHCT1G125DBV,74AHCT1G125DBV,"IC7, IC8, IC10, IC11"
74HC595D,74HC595D,"IC2, IC3"
8MHz,CRYSTALHC49UP,Q3
CUI-SD-50BV,MAB5SHCUI-SD-50BV,"X1, X2"
D6R,D6R,"SW3, SW4"
D6R40F2LFS,D6R,SW2
DAC8564,DAC8564,IC4
EC12E_SW,EC12E_SW,SW1
FIDUCIAL1X2,FIDUCIAL1X2,"F1, F3, F5, F6"
KINGBRIGHT-PDC54-11,KINGBRIGHT-PDC54-11,DISP1
LM1117-3.3,REG1117,IC1
M05X2PTH,M05X2PTH,JP2
MCP1703CB,MCP1703CB,IC9
MMBT3904,MMBT3904LT1-NPN-SOT23-BEC,"Q1, Q2"
OPA4171,TL074D,IC6
PJ301WQP,PJ301WQP,"J1, J2, J3, J4, J5, J6, J7, J8"
REF02D,REF02D,IC5
STM32F103CBT6,STM32F103CB,UC1
