Designator,Mid X,Mid Y,Rotation,Layer
C1,-33.97,102.87,180,Bottom
C10,-51.12,73.98,90,Top
C11,-46.83,70.49,180,Top
C12,-55.56,89.85,180,Bottom
C13,-36.83,67.95,270,Top
C14,-48.9,57.63,90,Top
C15,-19.05,57.15,0,Top
C16,-38.73,56.99,90,Top
C17,-29.85,56.04,270,Top
C18,-19.05,55.56,0,Top
C19,-51.12,53.02,180,Top
C2,-24.13,95.57,180,Top
C20,-36.51,53.02,180,Top
C21,-48.9,50.48,270,Top
C22,-38.73,50.48,270,Top
C23,-47.63,37.15,270,Top
C24,-26.99,27.62,90,Bottom
C25,-46.67,25.4,270,Top
C26,-43.82,22.23,180,Top
C27,-47.63,13.34,270,Top
C3,-55.56,93.66,180,Bottom
C4,-33.97,97.16,180,Bottom
C5,-31.12,87.95,180,Top
C6,-13.02,87.95,270,Top
C7,-51.12,77.47,270,Top
C8,-44.77,79.38,90,Top
C9,-35.56,78.26,0,Top
D1,-37.47,102.23,90,Top
D2,-55.56,102.23,270,Top
D3,-12.38,22.86,270,Bottom
F1,-1.91,105.09,0,Top
F3,-57.47,85.09,0,Top
F5,-57.47,2.54,0,Top
F6,-1.91,2.54,0,Top
IC1,-35.11,93.03,180,Top
IC10,-44.77,14.29,90,Top
IC11,-44.76,11.11,270,Top
IC2,-19.05,90.17,0,Top
IC3,-6.99,90.17,0,Top
IC4,-24.77,55.88,0,Top
IC5,-13.02,55.88,270,Top
IC6,-43.82,53.66,270,Top
IC7,-44.77,38.1,90,Top
IC8,-44.76,34.61,270,Top
IC9,-43.82,25.4,0,Top
OK1,-20,24.45,270,Bottom
Q1,-24.13,102.23,180,Top
Q2,-11.43,102.23,180,Top
Q3,-53.34,77.47,90,Bottom
R1,-20.96,104.78,180,Top
R10,-26.67,79.38,90,Top
R11,-21.59,79.38,90,Top
R12,-19.05,79.38,90,Top
R13,-16.51,79.38,90,Top
R14,-13.97,79.38,90,Top
R15,-8.89,79.38,90,Top
R16,-6.35,79.38,90,Top
R17,-47.78,72.71,270,Top
R18,-45.09,60.33,90,Top
R19,-43.5,60.33,90,Top
R2,-26.67,101.6,270,Top
R20,-41.91,60.33,90,Top
R21,-40.32,60.33,90,Top
R22,-30.8,60.01,270,Top
R23,-29.21,60.01,90,Top
R24,-51.12,58.42,0,Top
R25,-36.51,57.79,180,Top
R26,-51.12,56.83,0,Top
R27,-36.51,56.2,180,Top
R28,-51.12,51.44,0,Top
R29,-36.51,51.44,180,Top
R3,-21.59,101.6,270,Top
R30,-51.12,49.85,0,Top
R31,-36.51,49.53,180,Top
R32,-49.53,42.55,270,Top
R33,-29.85,38.1,90,Top
R34,-49.53,30.48,90,Top
R35,-12.38,26.99,90,Bottom
R36,-29.85,26.04,90,Top
R37,-26.99,23.81,90,Bottom
R38,-49.53,18.41,270,Top
R39,-24.45,17.14,90,Top
R4,-19.05,101.6,270,Top
R40,-22.86,17.14,90,Top
R41,-29.85,13.97,90,Top
R42,-29.85,10.79,270,Top
R43,-49.53,6.35,90,Top
R5,-16.51,101.6,270,Top
R6,-13.97,101.6,270,Top
R7,-8.89,101.6,270,Top
R8,-6.35,101.6,270,Top
R9,-4.13,101.6,90,Top
UC1,-40.64,74.3,270,Top
